"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","New Orleans Saints","DST","NO","2022",8,8,"ppr",1,4,1,0,0,0,0,0,1,16,16,"65.3%"
"2","Philadelphia Eagles","DST","PHI","2022",8,8,"ppr",2,6,1,1,2,0,0,0,1,14,14,"58.2%"
"3","Seattle Seahawks","DST","SEA","2022",8,8,"ppr",3,5,0,2,1,0,0,0,1,13,13,"20.5%"
"4","Cleveland Browns","DST","CLE","2022",8,8,"ppr",4,5,1,1,1,0,0,0,1,13,13,"37.2%"
"5","Dallas Cowboys","DST","DAL","2022",8,8,"ppr",5,4,0,1,1,1,0,0,1,11,11,"90.0%"
"6","Minnesota Vikings","DST","MIN","2022",8,8,"ppr",6,4,2,1,0,0,0,0,1,10,10,"23.7%"
"7","Tennessee Titans","DST","TEN","2022",8,8,"ppr",7,3,1,0,0,0,0,0,1,9,9,"26.3%"
"8","New England Patriots","DST","NE","2022",8,8,"ppr",8,2,3,0,0,0,0,0,1,9,9,"54.0%"
"9","Atlanta Falcons","DST","ATL","2022",8,8,"ppr",9,1,1,0,0,1,0,0,1,8,8,"1.7%"
"10","New York Jets","DST","NYJ","2022",8,8,"ppr",10,6,1,0,1,0,0,0,1,8,8,"21.1%"
"11","Houston Texans","DST","HOU","2022",8,8,"ppr",11,3,1,1,0,0,0,0,1,8,8,"0.8%"
"12","Washington Commanders","DST","WAS","2022",8,8,"ppr",12,2,0,2,1,0,0,0,1,7,7,"54.8%"
"13","Cincinnati Bengals","DST","CIN","2022",8,8,"ppr",13,2,1,1,1,0,0,0,1,7,7,"31.6%"
"14","Denver Broncos","DST","DEN","2022",8,8,"ppr",14,2,2,0,1,0,0,0,1,7,7,"38.8%"
"15","Arizona Cardinals","DST","ARI","2022",8,8,"ppr",15,3,0,1,1,0,0,0,1,6,6,"12.3%"
"16","Green Bay Packers","DST","GB","2022",8,8,"ppr",16,2,2,0,1,0,0,0,1,6,6,"80.7%"
"17","Carolina Panthers","DST","CAR","2022",8,8,"ppr",17,2,2,0,1,0,0,0,1,5,5,"14.1%"
"18","Buffalo Bills","DST","BUF","2022",8,8,"ppr",18,2,1,0,0,0,0,0,1,5,5,"99.0%"
"19","Indianapolis Colts","DST","IND","2022",8,8,"ppr",19,2,1,0,0,0,0,0,1,5,5,"52.4%"
"20","New York Giants","DST","NYG","2022",8,8,"ppr",20,3,0,1,1,0,0,0,1,5,5,"6.2%"
"21","Baltimore Ravens","DST","BAL","2022",8,8,"ppr",21,3,0,1,0,0,0,0,1,5,5,"89.6%"
"22","Tampa Bay Buccaneers","DST","TB","2022",8,8,"ppr",22,3,0,0,0,0,0,0,1,5,5,"81.2%"
"23","Jacksonville Jaguars","DST","JAC","2022",8,8,"ppr",23,3,1,0,0,0,0,0,1,5,5,"3.8%"
"24","Detroit Lions","DST","DET","2022",8,8,"ppr",24,2,0,1,1,0,0,0,1,3,3,"2.5%"
"25","San Francisco 49ers","DST","SF","2022",8,8,"ppr",25,2,0,0,0,0,0,0,1,3,3,"95.5%"
"26","Los Angeles Rams","DST","LAR","2022",8,8,"ppr",26,3,0,0,1,0,0,0,1,2,2,"34.3%"
"27","Miami Dolphins","DST","MIA","2022",8,8,"ppr",27,1,0,0,0,0,0,0,1,1,1,"25.9%"
"28","Los Angeles Chargers","DST","LAC","2022",8,8,"ppr",28,0,0,0,0,0,0,0,0,0,0,"30.2%"
"29","Las Vegas Raiders","DST","LV","2022",8,8,"ppr",29,0,0,0,0,0,0,0,1,0,0,"14.2%"
"30","Kansas City Chiefs","DST","KC","2022",8,8,"ppr",30,0,0,0,0,0,0,0,0,0,0,"47.9%"
"31","Pittsburgh Steelers","DST","PIT","2022",8,8,"ppr",31,3,0,0,0,0,0,0,1,-1,-1,"53.2%"
"32","Chicago Bears","DST","CHI","2022",8,8,"ppr",32,1,1,0,0,0,0,0,1,-1,-1,"2.2%"
