"Team","WR Targets","WR %","RB Targets","RB %","TE Targets","TE %","Total Targets"
"Arizona Cardinals","279","59.0","109","23.0","85","18.0","473"
"Atlanta Falcons","407","67.6","89","14.8","106","17.6","602"
"Baltimore Ravens","318","59.2","92","17.1","127","23.6","537"
"Buffalo Bills","290","60.9","97","20.4","89","18.7","476"
"Carolina Panthers","318","58.5","134","24.6","92","16.9","544"
"Chicago Bears","279","55.7","131","26.1","91","18.2","501"
"Cincinnati Bengals","317","60.0","111","21.0","100","18.9","528"
"Cleveland Browns","334","60.1","110","19.8","112","20.1","556"
"Dallas Cowboys","311","60.4","112","21.7","92","17.9","515"
"Denver Broncos","328","58.2","128","22.7","108","19.1","564"
"Detroit Lions","349","62.8","140","25.2","67","12.1","556"
"Green Bay Packers","384","62.5","106","17.3","124","20.2","614"
"Houston Texans","329","66.9","68","13.8","95","19.3","492"
"Indianapolis Colts","337","53.3","128","20.3","167","26.4","632"
"Jacksonville Jaguars","300","57.3","135","25.8","89","17.0","524"
"Kansas City Chiefs","292","51.8","97","17.2","175","31.0","564"
"Las Vegas Raiders","266","50.3","133","25.1","130","24.6","529"
"Los Angeles Chargers","292","57.7","141","27.9","73","14.4","506"
"Los Angeles Rams","362","66.5","97","17.8","85","15.6","544"
"Miami Dolphins","273","62.9","103","23.7","58","13.4","434"
"Minnesota Vikings","397","67.2","99","16.8","95","16.1","591"
"New England Patriots","274","49.3","201","36.2","81","14.6","556"
"New Orleans Saints","270","52.9","144","28.2","96","18.8","510"
"New York Giants","309","53.9","152","26.5","112","19.5","573"
"New York Jets","300","59.4","102","20.2","103","20.4","505"
"Philadelphia Eagles","276","46.8","102","17.3","212","35.9","590"
"Pittsburgh Steelers","445","66.0","110","16.3","119","17.7","674"
"San Francisco 49ers","260","50.6","107","20.8","147","28.6","514"
"Seattle Seahawks","241","60.6","85","21.4","72","18.1","398"
"Tampa Bay Buccaneers","421","68.0","88","14.2","110","17.8","619"
"Tennessee Titans","249","58.9","85","20.1","89","21.0","423"
"Washington Commanders","250","51.0","109","22.2","131","26.7","490"
""
""
