"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"Michael Thomas","WR","NO","13","13","7","9","13","12","11","11","bye","14","10","11","8","15","12","17","9","185","11.6"
"Davante Adams","WR","GB","8","9","4","15","-","-","-","-","11","10","bye","12","10","6","13","16","13","127","10.6"
"Julio Jones","WR","ATL","11","10","9","7","7","9","9","12","bye","9","8","10","-","8","20","15","13","157","10.5"
"DeAndre Hopkins","WR","HOU","13","8","7","8","8","12","12","13","11","bye","12","8","8","13","8","9","-","150","10.0"
"Allen Robinson II","WR","CHI","13","7","7","7","9","bye","16","7","5","9","6","10","12","8","14","12","12","154","9.6"
"Julian Edelman","WR","NE","11","4","10","7","9","15","12","11","11","bye","10","12","11","12","5","6","7","153","9.6"
"Robert Woods","WR","LAR","13","2","8","15","9","4","7","2","bye","11","-","9","18","9","9","11","12","139","9.3"
"Tyler Boyd","WR","CIN","12","10","11","6","14","7","14","9","bye","8","3","9","10","6","7","15","7","148","9.3"
"Keenan Allen","WR","LAC","10","15","17","5","6","6","11","10","4","11","12","bye","6","6","10","10","10","149","9.3"
"Mike Evans","WR","TB","5","8","15","7","3","17","bye","12","16","6","8","8","11","2","-","-","-","118","9.1"
"Zach Ertz","TE","PHI","7","16","7","8","7","9","6","4","11","bye","11","14","6","13","10","6","-","135","9.0"
"DJ Moore","WR","CAR","10","14","2","5","8","10","bye","9","10","11","15","9","12","6","12","2","-","135","9.0"
"Christian McCaffrey","RB","CAR","11","6","4","10","8","5","bye","5","3","7","15","9","12","12","10","15","10","142","8.9"
"Jarvis Landry","WR","CLE","7","7","9","10","6","5","bye","10","13","10","7","13","11","7","8","9","6","138","8.6"
"Chris Godwin","WR","TB","6","9","5","14","9","12","bye","8","9","12","6","8","6","9","8","-","-","121","8.6"
"Travis Kelce","TE","KC","8","9","8","8","10","6","8","8","9","7","10","bye","9","9","13","9","5","136","8.5"
"Evan Engram","TE","NYG","14","8","8","7","11","-","5","7","8","-","bye","-","-","-","-","-","-","68","8.5"
"Cooper Kupp","WR","LAR","10","9","12","15","17","6","8","10","bye","4","3","10","6","4","6","4","10","134","8.4"
"Odell Beckham Jr.","WR","CLE","11","10","9","7","6","11","bye","7","6","12","10","8","6","5","13","6","6","133","8.3"
"Christian Kirk","WR","ARI","12","8","12","5","-","-","-","11","5","10","9","bye","7","9","5","5","10","108","8.3"
"Sterling Shepard","WR","NYG","7","-","9","9","9","-","-","-","-","-","bye","9","6","7","11","6","10","83","8.3"
"Michael Gallup","WR","DAL","7","8","-","-","14","7","4","bye","6","10","13","6","7","10","3","11","7","113","8.1"
"DeVante Parker","WR","MIA","7","7","6","4","bye","4","10","8","6","10","10","11","10","2","7","15","11","128","8.0"
"Antonio Brown","WR","NE","-","8","-","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","8","8.0"
"DJ Chark Jr.","WR","JAC","4","9","5","8","11","7","5","12","9","bye","15","6","5","10","-","7","5","118","7.9"
"Courtland Sutton","WR","DEN","8","7","7","9","7","8","8","5","8","bye","9","8","5","7","10","10","8","124","7.8"
"John Brown","WR","BUF","10","8","5","11","5","bye","6","8","7","11","14","4","4","8","10","4","-","115","7.7"
"Golden Tate","WR","NYG","-","-","-","-","6","9","11","10","6","8","bye","7","-","5","4","11","8","85","7.7"
"Jamison Crowder","WR","NYJ","17","6","5","bye","3","9","5","5","9","6","8","4","9","7","11","8","10","122","7.6"
"George Kittle","TE","SF","10","3","8","bye","8","8","5","7","8","-","-","6","4","8","17","8","7","107","7.6"
"Austin Hooper","TE","ATL","9","6","7","11","9","8","5","7","bye","5","-","-","-","6","6","9","9","97","7.5"
"Preston Williams","WR","MIA","5","6","12","7","bye","6","8","7","9","-","-","-","-","-","-","-","-","60","7.5"
"Tyreek Hill","WR","KC","2","-","-","-","-","10","5","9","9","19","2","bye","8","8","7","5","5","89","7.4"
"Amari Cooper","WR","DAL","9","5","7","8","14","2","5","bye","7","14","8","2","11","8","2","12","5","119","7.4"
"Alshon Jeffery","WR","PHI","7","0","-","9","8","12","5","6","8","bye","-","-","16","2","-","-","-","73","7.3"
"Kenny Golladay","WR","DET","9","10","8","9","bye","9","2","8","7","9","5","4","5","8","7","12","4","116","7.3"
"Darren Waller","TE","OAK","8","7","14","8","5","-","8","8","2","5","7","6","9","6","10","4","10","117","7.3"
