"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jalen Hurts (PHI)","264","388","68.0","3,157","8.1","22","3","34","139","686","10","2","13","337.9","26.0","99.9%"
"2","Patrick Mahomes II (KC)","336","511","65.8","4,160","8.1","33","11","21","47","280","2","0","13","331.4","25.5","100.0%"
"3","Josh Allen (BUF)","300","470","63.8","3,553","7.6","26","11","28","99","628","6","4","13","326.0","25.1","100.0%"
"4","Joe Burrow (CIN)","322","473","68.1","3,685","7.8","27","9","35","65","234","5","2","13","299.8","23.1","99.3%"
"5","Justin Fields (CHI)","156","253","61.7","1,896","7.5","13","10","40","128","905","8","1","12","256.3","21.4","95.1%"
"6","Geno Smith (SEA)","306","428","71.5","3,433","8.0","25","8","34","55","263","1","4","13","253.7","19.5","87.0%"
"7","Lamar Jackson (BAL)","203","326","62.3","2,242","6.9","17","7","26","112","764","3","2","12","243.1","20.3","97.0%"
"8","Trevor Lawrence (JAC)","303","458","66.2","3,202","7.0","20","6","23","46","218","4","6","13","241.9","18.6","74.7%"
"9","Justin Herbert (LAC)","379","561","67.6","3,706","6.6","21","7","30","45","143","0","2","13","238.6","18.4","98.8%"
"10","Daniel Jones (NYG)","247","374","66.0","2,534","6.8","12","4","41","95","548","5","3","13","226.0","17.4","56.8%"
"11","Kirk Cousins (MIN)","321","490","65.5","3,358","6.9","20","9","33","25","58","2","2","13","223.1","17.2","87.6%"
"12","Jared Goff (DET)","290","444","65.3","3,352","7.5","22","7","19","23","51","0","3","13","219.6","16.9","59.6%"
"13","Kyler Murray (ARI)","259","390","66.4","2,368","6.1","14","7","25","67","418","3","2","11","207.6","18.9","67.3%"
"14","Tua Tagovailoa (MIA)","226","345","65.5","3,004","8.7","22","5","17","22","63","0","1","11","207.5","18.9","94.6%"
"15","Marcus Mariota (ATL)","184","300","61.3","2,219","7.4","15","9","28","85","438","4","3","13","205.7","15.8","21.0%"
"16","Tom Brady (TB)","381","579","65.8","3,585","6.2","17","5","18","22","-7","0","2","13","203.5","15.7","85.3%"
"17","Derek Carr (LV)","269","434","62.0","3,117","7.2","20","10","21","21","88","0","0","13","203.4","15.6","64.3%"
"18","Aaron Rodgers (GB)","272","423","64.3","2,864","6.8","22","9","24","20","67","0","4","13","196.3","15.1","73.7%"
"19","Russell Wilson (DEN)","238","394","60.4","2,805","7.1","11","6","43","41","215","1","1","12","177.0","14.8","45.1%"
"20","Jacoby Brissett (CLE)","236","369","64.0","2,608","7.1","12","6","24","47","238","2","4","12","174.2","14.5","4.9%"
"21","Jimmy Garoppolo (SF)","207","308","67.2","2,437","7.9","16","4","18","23","33","2","2","11","168.7","15.3","16.6%"
"22","Matt Ryan (IND)","290","428","67.8","2,875","6.7","13","13","35","24","70","1","5","11","157.0","14.3","9.9%"
"23","Ryan Tannehill (TEN)","197","303","65.0","2,371","7.8","13","5","29","31","97","1","2","11","155.5","14.1","26.2%"
"24","Andy Dalton (NO)","200","299","66.9","2,252","7.5","15","7","16","24","54","0","1","10","148.6","14.9","10.5%"
"25","Dak Prescott (DAL)","168","251","66.9","1,847","7.4","14","9","9","25","94","1","0","8","136.3","17.0","92.8%"
"26","Davis Mills (HOU)","219","349","62.8","2,319","6.6","11","12","28","18","40","1","1","11","132.9","12.1","3.4%"
"27","Mac Jones (NE)","208","305","68.2","2,198","7.2","7","8","26","35","87","1","1","10","120.6","12.1","13.9%"
"28","Kenny Pickett (PIT)","191","294","65.0","1,797","6.1","4","8","24","44","225","3","1","10","120.5","12.1","10.4%"
"29","Matthew Stafford (LAR)","206","303","68.0","2,087","6.9","10","8","29","13","9","1","3","9","116.5","12.9","30.0%"
"30","Carson Wentz (WAS)","144","232","62.1","1,489","6.4","10","6","23","19","79","0","1","6","103.5","17.3","6.6%"
"31","Taylor Heinicke (WAS)","131","212","61.8","1,444","6.8","9","5","14","23","67","1","2","7","97.4","13.9","13.8%"
"32","Baker Mayfield (LAR)","141","241","58.5","1,543","6.4","7","6","23","20","62","1","1","8","93.9","11.7","6.4%"
"33","Zach Wilson (NYJ)","105","189","55.6","1,279","6.8","4","5","16","24","94","1","1","7","82.8","11.8","3.4%"
"34","Mitch Trubisky (PIT)","100","158","63.3","1,073","6.8","4","5","10","13","29","1","0","6","64.9","10.8","0.8%"
"35","Cooper Rush (DAL)","94","161","58.4","1,051","6.5","5","3","7","9","6","0","0","7","59.6","8.5","0.5%"
"36","Mike White (NYJ)","80","129","62.0","952","7.4","3","2","5","6","9","1","0","3","55.0","18.3","25.2%"
"37","Jameis Winston (NO)","73","115","63.5","858","7.5","4","5","11","5","16","0","0","3","48.9","16.3","5.6%"
"38","Joe Flacco (NYJ)","92","158","58.2","902","5.7","5","3","10","3","6","0","4","4","45.7","11.4","0.3%"
"39","Bailey Zappe (NE)","65","92","70.7","781","8.5","5","3","6","10","0","0","3","4","42.7","10.7","0.3%"
"40","PJ Walker (CAR)","63","106","59.4","731","6.9","3","3","7","6","39","0","0","6","42.2","7.0","0.8%"
"41","Brock Purdy (SF)","45","67","67.2","461","6.9","4","2","3","11","5","1","0","5","38.9","7.8","19.8%"
"42","Colt McCoy (ARI)","77","111","69.4","702","6.3","1","2","11","12","34","0","0","3","33.4","11.1","1.8%"
"43","Teddy Bridgewater (MIA)","37","60","61.7","522","8.7","3","3","6","2","21","0","0","4","32.0","8.0","0.6%"
"44","Sam Darnold (CAR)","25","43","58.1","284","6.6","2","0","2","7","33","1","0","2","28.7","14.4","3.4%"
"45","Deshaun Watson (CLE)","38","64","59.4","407","6.4","1","2","3","13","54","0","0","2","23.6","11.8","74.6%"
"46","Tyler Huntley (BAL)","35","44","79.5","275","6.3","0","1","3","19","72","1","0","2","23.2","11.6","21.0%"
"47","Kyle Allen (HOU)","46","78","59.0","416","5.3","2","4","5","6","13","0","1","3","19.9","6.6","0.7%"
