"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Austin Ekeler (LAC)","153","634","4.1","71","6","8","93","112","623","6.7","5","2","13","292.7","22.5","100.0%"
"2","Josh Jacobs (LV)","269","1,402","5.2","86","14","11","44","52","346","7.9","0","1","13","282.8","21.8","99.3%"
"3","Christian McCaffrey (SF)","174","819","4.7","49","11","5","68","86","593","8.7","4","0","13","268.6","20.7","100.0%"
"4","Derrick Henry (TEN)","275","1,199","4.4","56","17","11","26","34","320","12.3","0","2","13","244.1","18.8","100.0%"
"5","Saquon Barkley (NYG)","251","1,083","4.3","68","15","8","42","54","261","6.2","0","0","13","226.4","17.4","99.9%"
"6","Nick Chubb (CLE)","231","1,153","5.0","41","16","12","20","27","172","8.6","0","1","13","224.5","17.3","99.9%"
"7","Tony Pollard (DAL)","158","894","5.7","57","17","9","29","41","279","9.6","3","0","13","218.3","16.8","96.7%"
"8","Aaron Jones (GB)","164","847","5.2","36","8","2","48","58","328","6.8","4","1","13","201.5","15.5","99.6%"
"9","Rhamondre Stevenson (NE)","164","742","4.5","49","8","4","58","70","385","6.6","1","0","13","200.7","15.4","97.4%"
"10","Miles Sanders (PHI)","204","1,068","5.2","40","12","11","18","23","85","4.7","0","0","13","199.3","15.3","96.3%"
"11","Joe Mixon (CIN)","172","701","4.1","40","7","6","43","55","324","7.5","2","0","11","193.5","17.6","99.9%"
"12","Dalvin Cook (MIN)","213","950","4.5","81","11","8","29","44","170","5.9","1","2","13","191.0","14.7","100.0%"
"13","Leonard Fournette (TB)","149","524","3.5","17","0","3","55","64","380","6.9","3","0","12","180.4","15.0","96.9%"
"14","Jamaal Williams (DET)","204","806","4.0","51","6","14","9","13","57","6.3","0","2","13","177.3","13.6","91.0%"
"15","Dameon Pierce (HOU)","220","939","4.3","75","13","4","30","39","165","5.5","1","2","13","166.4","12.8","93.4%"
"16","Alvin Kamara (NO)","143","550","3.8","27","2","1","51","68","433","8.5","2","4","11","159.3","14.5","99.2%"
"17","Najee Harris (PIT)","187","704","3.8","36","2","5","32","40","165","5.2","2","1","13","159.1","12.2","97.4%"
