"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","81","117","1,039","12.8","46","23","12","2","5","0","1","13","257.4","19.8","100.0%"
"2","Mark Andrews (BAL)","58","92","671","11.6","25","6","5","3","8","0","0","12","157.9","13.2","99.9%"
"3","T.J. Hockenson (MIN)","62","91","697","11.2","81","12","4","0","0","0","1","13","155.7","12.0","98.4%"
"4","Evan Engram (JAC)","53","74","548","10.3","28","7","4","1","0","0","0","13","133.8","10.3","66.4%"
"5","Pat Freiermuth (PIT)","53","82","630","11.9","57","12","2","0","0","0","0","12","128.0","10.7","94.0%"
"6","Zach Ertz (ARI)","47","69","406","8.6","32","3","4","0","0","0","0","10","115.6","11.6","32.9%"
"7","David Njoku (CLE)","48","61","523","10.9","38","9","3","2","-8","0","1","10","115.5","11.6","86.5%"
"8","George Kittle (SF)","42","59","500","11.9","39","10","4","0","0","0","1","11","114.0","10.4","98.9%"
"9","Dallas Goedert (PHI)","43","53","544","12.7","31","9","3","0","0","0","1","9","113.4","12.6","87.1%"
"10","Gerald Everett (LAC)","48","73","490","10.2","26","3","2","1","0","0","0","12","111.0","9.3","84.8%"
"11","Taysom Hill (NO)","7","11","66","9.4","30","2","2","61","419","5","0","12","106.9","8.9","44.3%"
"12","Cole Kmet (CHI)","35","50","408","11.7","50","9","5","2","9","0","0","13","106.7","8.2","68.8%"
"13","Tyler Conklin (NYJ)","45","71","418","9.3","29","4","3","1","1","0","0","13","104.9","8.1","34.7%"
"14","Hayden Hurst (CIN)","48","63","400","8.3","29","4","2","0","0","0","0","12","100.0","8.3","40.6%"
"15","Dalton Schultz (DAL)","41","62","430","10.5","30","5","3","0","0","0","1","11","100.0","9.1","95.9%"
"16","Tyler Higbee (LAR)","52","81","455","8.8","26","3","0","0","0","0","0","12","97.5","8.1","72.8%"
"17","Juwan Johnson (NO)","31","49","349","11.3","41","7","5","0","0","0","0","12","95.9","8.0","17.6%"
"18","Dawson Knox (BUF)","37","50","368","9.9","24","5","3","0","0","0","0","12","91.8","7.7","74.3%"
"19","Robert Tonyan (GB)","45","56","372","8.3","23","2","1","0","0","0","0","13","88.2","6.8","26.0%"
"20","Noah Fant (SEA)","37","47","382","10.3","51","7","2","0","0","0","0","13","87.2","6.7","30.7%"
"21","Cade Otton (TB)","36","50","337","9.4","35","4","2","0","0","0","0","12","81.7","6.8","7.5%"
"22","Will Dissly (SEA)","32","36","317","9.9","38","2","3","0","0","0","0","13","81.7","6.3","3.4%"
"23","Hunter Henry (NE)","28","42","406","14.5","39","14","2","0","0","0","0","13","80.6","6.2","39.2%"
"24","Austin Hooper (TEN)","32","43","347","10.8","24","2","2","0","0","0","0","13","78.7","6.1","13.9%"
"25","Kyle Pitts (ATL)","28","59","356","12.7","33","6","2","0","0","0","0","10","75.6","7.6","41.7%"
"26","Mike Gesicki (MIA)","24","39","269","11.2","30","4","4","0","0","0","0","13","74.9","5.8","37.7%"
"27","Greg Dulcich (DEN)","28","45","361","12.9","39","9","1","0","0","0","0","8","70.1","8.8","59.7%"
"28","Jordan Akins (HOU)","25","34","326","13.0","46","9","2","0","0","0","1","11","67.6","6.1","0.9%"
"29","Foster Moreau (LV)","25","45","316","12.6","33","8","2","0","2","0","1","10","66.8","6.7","32.8%"
"30","Chigoziem Okonkwo (TEN)","21","31","320","15.2","48","12","2","2","-4","0","0","12","66.6","5.6","18.4%"
"31","Daniel Bellinger (NYG)","24","26","195","8.1","20","1","2","1","2","1","0","8","61.7","7.7","7.7%"
"32","Isaiah Likely (BAL)","22","37","236","10.7","34","3","2","0","0","0","0","10","57.6","5.8","7.6%"
"33","Noah Gray (KC)","22","28","234","10.6","27","3","1","1","1","1","0","13","57.5","4.4","0.3%"
"34","Kylen Granson (IND)","29","38","268","9.2","32","3","0","1","0","0","0","12","55.8","4.7","0.3%"
"35","Jelani Woods (IND)","17","26","205","12.1","33","4","3","0","0","0","0","8","55.5","6.9","1.5%"
"36","Harrison Bryant (CLE)","25","35","193","7.7","30","2","1","1","8","0","0","11","51.1","4.6","2.2%"
"37","Logan Thomas (WAS)","24","40","210","8.8","27","2","1","0","0","0","0","9","51.0","5.7","6.9%"
"38","Irv Smith Jr. (MIN)","22","33","168","7.6","17","0","2","0","0","0","0","7","50.8","7.3","13.5%"
"39","Mo Alie-Cox (IND)","17","23","183","10.8","34","2","2","0","0","0","1","10","45.3","4.5","2.0%"
"40","Jonnu Smith (NE)","22","31","200","9.1","53","6","0","1","5","0","0","10","42.5","4.3","1.1%"
"41","Jake Ferguson (DAL)","16","19","139","8.7","30","3","2","0","0","0","0","8","41.9","5.2","0.2%"
"42","Colby Parkinson (SEA)","15","19","194","12.9","36","4","1","0","0","0","0","10","40.4","4.0","0.0%"
"43","Darren Waller (LV)","16","24","175","10.9","31","3","1","0","0","0","0","5","39.5","7.9","73.0%"
"44","Adam Trautman (NO)","16","19","173","10.8","22","2","1","0","0","0","0","9","39.3","4.4","0.7%"
"45","Ian Thomas (CAR)","19","26","176","9.3","50","4","0","0","0","0","0","11","36.6","3.3","0.1%"
"46","Josh Oliver (BAL)","11","18","130","11.8","40","3","2","0","0","0","0","8","36.0","4.5","0.1%"
"47","Johnny Mundt (MIN)","17","19","117","6.9","17","0","1","0","0","0","0","11","34.7","3.2","0.1%"
"48","Brock Wright (DET)","13","16","141","10.8","25","2","1","0","0","0","0","10","33.1","3.3","0.2%"
"49","Cameron Brate (TB)","18","33","149","8.3","19","0","0","0","0","0","0","8","32.9","4.1","1.6%"
"50","O.J. Howard (HOU)","9","21","119","13.2","24","3","2","0","0","0","0","10","32.9","3.3","0.3%"
"51","Tommy Tremble (CAR)","11","23","101","9.2","29","1","2","0","0","0","1","11","31.1","2.8","0.3%"
"52","John Bates (WAS)","14","22","108","7.7","20","1","1","0","0","0","0","9","30.8","3.4","0.1%"
"53","Peyton Hendershot (DAL)","10","14","83","8.3","29","1","1","1","2","1","0","10","30.5","3.1","0.1%"
"54","Jody Fortson (KC)","9","12","108","12.0","40","4","2","0","0","0","1","9","29.8","3.3","0.1%"
"55","MyCole Pruitt (ATL)","7","8","47","6.7","17","0","3","0","0","0","0","6","29.7","5.0","0.1%"
"56","C.J. Uzomah (NYJ)","15","17","137","9.1","31","3","0","0","0","0","0","11","28.7","2.6","0.3%"
"57","Durham Smythe (MIA)","9","12","75","8.3","19","0","1","2","1","1","0","9","28.6","3.2","0.1%"
"58","Eric Saubert (DEN)","11","19","113","10.3","25","2","1","0","0","0","0","11","28.3","2.6","0.1%"
"59","Zach Gentry (PIT)","16","20","104","6.5","32","2","0","0","0","0","0","11","26.4","2.4","0.1%"
"60","Connor Heyward (PIT)","9","10","106","11.8","45","3","1","0","0","0","0","11","25.6","2.3","0.1%"
"61","Pharaoh Brown (CLE)","12","20","117","9.8","30","2","0","0","0","0","0","9","23.7","2.6","0.1%"
"62","Tanner Hudson (CIN)","10","15","132","13.2","27","1","0","0","0","0","0","6","23.2","3.9","0.1%"
"63","Jack Stoll (PHI)","10","13","117","11.7","26","2","0","0","0","0","0","9","21.7","2.4","0.4%"
"64","Josiah Deguara (GB)","11","13","106","9.6","25","1","0","0","0","0","0","7","21.6","3.1","0.1%"
"65","Ko Kieft (TB)","7","9","80","11.4","19","0","1","0","0","0","0","11","21.0","1.9","0.0%"
"66","Geoff Swaim (TEN)","9","13","50","5.6","13","0","1","0","0","0","0","9","20.0","2.2","0.0%"
"67","Dan Arnold (JAC)","8","11","118","14.8","26","3","0","0","0","0","0","9","19.8","2.2","0.1%"
"68","Chris Myarick (NYG)","7","8","65","9.3","23","1","1","0","0","0","0","10","19.5","2.0","0.0%"
"69","Ross Dwelley (SF)","3","5","105","35.0","56","6","1","0","0","0","0","5","19.5","3.9","0.0%"
"70","Trey McBride (ARI)","12","17","74","6.2","15","0","0","0","0","0","0","8","19.4","2.4","3.4%"
"71","Brevin Jordan (HOU)","10","22","78","7.8","20","1","0","0","0","0","0","6","17.8","3.0","0.8%"
"72","James Mitchell (DET)","5","5","48","9.6","22","1","1","0","0","0","0","4","15.8","4.0","0.1%"
"73","Tre' McKitty (LAC)","9","15","62","6.9","12","0","0","0","0","0","0","10","15.2","1.5","1.0%"
"74","Mitchell Wilcox (CIN)","8","9","70","8.8","18","0","0","0","0","0","0","7","15.0","2.1","0.2%"
"75","Parker Hesse (ATL)","7","9","75","10.7","22","1","0","0","0","0","0","9","14.5","1.6","0.0%"
"76","Anthony Firkser (ATL)","6","7","79","13.2","22","1","0","0","0","0","0","5","13.9","2.8","0.0%"
"77","Armani Rogers (WAS)","5","6","64","12.8","23","1","0","1","24","0","0","8","13.8","1.7","0.0%"
"78","Giovanni Ricci (CAR)","7","8","68","9.7","16","0","0","0","0","0","0","9","13.8","1.5","0.0%"
