"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Jefferson (MIN)","99","142","1,500","15.2","64","46","6","4","24","1","0","13","296.7","22.8","100.0%"
"2","Tyreek Hill (MIA)","100","139","1,460","14.6","64","40","6","6","30","0","0","13","285.0","21.9","100.0%"
"3","Davante Adams (LV)","82","142","1,247","15.2","58","38","12","3","-1","0","0","13","278.6","21.4","100.0%"
"4","Stefon Diggs (BUF)","94","133","1,239","13.2","53","31","10","0","0","0","0","13","277.9","21.4","100.0%"
"5","A.J. Brown (PHI)","65","102","1,020","15.7","54","28","10","0","0","0","2","13","223.0","17.2","99.9%"
"6","Amon-Ra St. Brown (DET)","82","109","898","11.0","49","14","6","7","89","0","0","12","216.7","18.1","99.1%"
"7","CeeDee Lamb (DAL)","74","117","961","13.0","35","21","6","9","46","0","0","13","210.7","16.2","99.9%"
"8","Tyler Lockett (SEA)","71","99","896","12.6","40","21","8","0","0","0","2","13","204.6","15.7","94.8%"
"9","Cooper Kupp (LAR)","75","98","812","10.8","75","18","6","9","52","1","1","9","201.4","22.4","83.9%"
"10","Christian Kirk (JAC)","67","106","874","13.0","49","21","7","4","7","0","1","13","195.1","15.0","94.9%"
"11","Jaylen Waddle (MIA)","59","94","1,003","17.0","59","29","6","2","17","0","1","13","195.0","15.0","99.3%"
"12","Amari Cooper (CLE)","63","109","874","13.9","55","21","7","0","0","0","0","13","191.4","14.7","96.2%"
"13","DK Metcalf (SEA)","72","110","869","12.1","54","17","6","0","0","0","2","13","190.9","14.7","97.8%"
"14","Ja'Marr Chase (CIN)","64","97","821","12.8","60","20","7","5","8","0","1","9","186.9","20.8","99.9%"
"15","Terry McLaurin (WAS)","62","98","945","15.2","49","24","3","6","17","0","0","13","176.2","13.6","98.0%"
"16","Tee Higgins (CIN)","60","85","861","14.4","59","20","5","0","0","0","0","11","176.1","16.0","99.1%"
"17","Garrett Wilson (NYJ)","63","101","868","13.8","60","20","4","4","4","0","0","13","174.2","13.4","90.4%"
"18","Brandon Aiyuk (SF)","58","86","755","13.0","34","16","7","1","7","0","1","13","174.2","13.4","92.0%"
"19","DeVonta Smith (PHI)","66","95","775","11.7","45","20","5","0","0","0","1","13","171.5","13.2","92.9%"
"20","Chris Olave (NO)","60","98","887","14.8","53","23","3","0","0","0","1","12","166.7","13.9","93.3%"
"21","Deebo Samuel (SF)","54","91","612","11.3","57","11","2","41","228","3","2","12","164.0","13.7","95.8%"
"22","Michael Pittman Jr. (IND)","76","107","755","9.9","28","7","2","0","0","0","1","12","161.5","13.5","96.9%"
"23","Mike Evans (TB)","59","98","805","13.6","51","22","3","0","0","0","0","12","157.5","13.1","98.6%"
"24","Chris Godwin (TB)","73","108","702","9.6","44","11","2","3","5","0","0","11","155.7","14.2","95.9%"
"25","Adam Thielen (MIN)","63","91","645","10.2","36","7","4","0","0","0","0","13","153.5","11.8","90.7%"
"26","JuJu Smith-Schuster (KC)","61","82","762","12.5","53","17","3","0","0","0","1","12","153.2","12.8","93.4%"
"27","Curtis Samuel (WAS)","54","79","556","10.3","49","11","3","31","188","1","1","13","150.4","11.6","61.9%"
"28","Zay Jones (JAC)","68","98","655","9.6","29","6","2","3","21","0","0","12","149.6","12.5","60.7%"
"29","Joshua Palmer (LAC)","61","92","665","10.9","50","12","3","1","4","0","0","12","145.9","12.2","70.3%"
