"","player","pos","team","season","start_week","end_week","scoring","rank","fg","fga","pct","lg","x1_19","x20_29","x30_39","x40_49","x50","xpt","xpa","g","fpts","fpts_g","rost"
"1","Roberto Aguayo","K","FA","2016",11,11,"ppr",1,4,4,100,41,0,1,2,1,0,1,1,1,14,14,"0.1%"
"2","Graham Gano","K","NYG","2016",11,11,"ppr",2,3,3,100,49,0,0,1,2,0,2,2,1,13,13,"61.0%"
"3","Dan Carpenter","K","FA","2016",11,11,"ppr",3,3,3,100,54,0,2,0,0,1,1,1,1,12,12,"0.2%"
"4","Chris Boswell","K","PIT","2016",11,11,"ppr",4,3,3,100,33,0,1,2,0,0,1,1,1,10,10,"14.1%"
"5","Jason Myers","K","SEA","2016",11,11,"ppr",5,2,2,100,52,0,1,0,0,1,1,2,1,9,9,"55.6%"
"6","Dan Bailey","K","FA","2016",11,11,"ppr",6,2,2,100,30,0,1,1,0,0,3,3,1,9,9,"0.0%"
"7","Sebastian Janikowski","K","FA","2016",11,11,"ppr",7,2,2,100,20,1,1,0,0,0,3,3,1,9,9,"20.0%"
"8","Matt Prater","K","ARI","2016",11,11,"ppr",8,2,2,100,43,0,1,0,1,0,2,3,1,9,9,"14.9%"
"9","Wil Lutz","K","NO","2016",11,11,"ppr",9,2,3,66.7,30,0,1,1,0,0,2,2,1,8,8,"8.0%"
"10","Nick Novak","K","FA","2016",11,11,"ppr",10,2,2,100,32,0,1,1,0,0,2,2,1,8,8,"0.1%"
"11","Stephen Hauschka","K","FA","2016",11,11,"ppr",11,2,3,66.7,35,0,1,1,0,0,2,3,1,8,8,"0.0%"
"12","Adam Vinatieri","K","FA","2016",11,11,"ppr",12,1,2,50,49,0,0,0,1,0,3,3,1,7,7,"0.2%"
"13","Stephen Gostkowski","K","FA","2016",11,11,"ppr",13,1,1,100,38,0,0,1,0,0,3,4,1,6,6,"0.0%"
"14","Dustin Hopkins","K","LAC","2016",11,11,"ppr",14,1,1,100,37,0,0,1,0,0,3,4,1,6,6,"2.7%"
"15","Ryan Succop","K","TB","2016",11,11,"ppr",15,1,1,100,47,0,0,0,1,0,2,2,1,6,6,"34.3%"
"16","Mason Crosby","K","GB","2016",11,11,"ppr",16,1,2,50,36,0,0,1,0,0,3,3,1,6,6,"3.2%"
"17","Justin Tucker","K","BAL","2016",11,11,"ppr",17,1,1,100,46,0,0,0,1,0,2,2,1,6,6,"99.0%"
"18","Kai Forbath","K","LAR","2016",11,11,"ppr",18,1,1,100,27,0,1,0,0,0,3,4,1,6,6,"3.0%"
"19","Chandler Catanzaro","K","FA","2016",11,11,"ppr",19,1,1,100,34,0,0,1,0,0,3,3,1,6,6,"0.0%"
"20","Cairo Santos","K","CHI","2016",11,11,"ppr",20,1,1,100,22,0,1,0,0,0,2,2,1,5,5,"13.3%"
"21","Phil Dawson","K","FA","2016",11,11,"ppr",21,1,1,100,33,0,0,1,0,0,2,2,1,5,5,"0.1%"
"22","Connor Barth","K","FA","2016",11,11,"ppr",22,1,2,50,40,0,0,0,1,0,1,2,1,5,5,"0.0%"
"23","Robbie Gould","K","SF","2016",11,11,"ppr",23,1,1,100,46,0,0,0,1,0,1,3,1,5,5,"42.9%"
"24","Greg Zuerlein","K","NYJ","2016",11,11,"ppr",24,1,2,50,46,0,0,0,1,0,1,1,1,5,5,"15.9%"
"25","Cody Parkey","K","FA","2016",11,11,"ppr",25,1,1,100,24,0,1,0,0,0,0,1,1,3,3,"0.0%"
"26","Andrew Franks","K","FA","2016",11,11,"ppr",26,0,0,0,0,0,0,0,0,0,2,2,1,2,2,"0.0%"
"27","Caleb Sturgis","K","FA","2016",11,11,"ppr",27,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"0.0%"
"28","Mike Nugent","K","FA","2016",11,11,"ppr",28,0,0,0,0,0,0,0,0,0,0,2,1,0,0,"1.0%"
"29","Michael Palardy","K","NE","2016",11,11,"ppr",29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"33.3%"
