"","player","pos","team","season","start_week","end_week","scoring","rank","rushing_att","rushing_yds","rushing_y_a","rushing_lg","rushing_20","rushing_td","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_td","fl","g","fpts","fpts_g","rost"
"1","Saquon Barkley","RB","NYG","2018",6,6,"ppr","1","13","130","10.0","50","7","1","9","12","99","11.0","0","0","1","37.9","37.9","100.0%"
"2","Todd Gurley II","RB","FA","2018",6,6,"ppr","2","28","208","7.4","29","4","2","2","5","17","8.5","0","0","1","36.5","36.5","0.1%"
"3","Melvin Gordon III","RB","KC","2018",6,6,"ppr","3","18","132","7.3","16","0","3","2","4","18","9.0","0","0","1","35.0","35.0","29.3%"
"4","Kareem Hunt","RB","CLE","2018",6,6,"ppr","4","10","80","8.0","31","3","0","5","6","105","21.0","1","0","1","29.5","29.5","76.3%"
"5","James Conner","RB","ARI","2018",6,6,"ppr","5","19","111","5.8","26","2","2","4","7","18","4.5","0","0","1","28.9","28.9","97.8%"
"6","Tarik Cohen","RB","FA","2018",6,6,"ppr","6","5","31","6.2","21","1","1","7","9","90","12.9","0","1","1","23.1","23.1","0.0%"
"7","Latavius Murray","RB","DEN","2018",6,6,"ppr","7","24","155","6.5","34","5","1","1","2","3","3.0","0","0","1","22.8","22.8","75.6%"
"8","Sony Michel","RB","LAC","2018",6,6,"ppr","8","24","106","4.4","15","0","2","0","1","0","0","0","0","1","22.6","22.6","2.2%"
"9","Peyton Barber","RB","FA","2018",6,6,"ppr","9","13","82","6.3","28","2","0","4","4","24","6.0","1","0","1","20.6","20.6","1.0%"
"10","Ezekiel Elliott","RB","DAL","2018",6,6,"ppr","10","24","106","4.4","21","2","1","1","1","11","11.0","0","0","1","18.7","18.7","97.0%"
"11","Joe Mixon","RB","CIN","2018",6,6,"ppr","11","11","64","5.8","17","0","1","4","7","20","5.0","0","0","1","18.4","18.4","99.9%"
"12","Alex Collins","RB","FA","2018",6,6,"ppr","12","19","54","2.8","13","0","2","0","0","0","0","0","0","1","17.4","17.4","19.0%"
"13","Corey Clement","RB","ARI","2018",6,6,"ppr","13","11","43","3.9","14","0","1","3","3","26","8.7","0","0","1","15.9","15.9","0.0%"
"14","Duke Johnson Jr.","RB","BUF","2018",6,6,"ppr","14","2","36","18.0","23","1","0","4","5","73","18.3","0","0","1","14.9","14.9","0.0%"
"15","James White","RB","FA","2018",6,6,"ppr","15","6","39","6.5","12","0","0","5","7","53","10.6","0","0","1","14.2","14.2","0.1%"
"16","Christian McCaffrey","RB","SF","2018",6,6,"ppr","16","8","20","2.5","9","0","0","7","8","46","6.6","0","0","1","13.6","13.6","100.0%"
"17","David Johnson","RB","NO","2018",6,6,"ppr","17","18","54","3.0","10","0","1","2","5","15","7.5","0","1","1","12.9","12.9","0.1%"
"18","Frank Gore","RB","FA","2018",6,6,"ppr","18","15","101","6.7","32","2","0","1","1","18","18.0","0","0","1","12.9","12.9","12.1%"
