"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Jared Cook","TE","FA","2016",11,11,"ppr","1","6","11","105","17.5","47","2","1","0","0","0","1","1","20.5","20.5","0.0%"
"2","Travis Kelce","TE","KC","2016",11,11,"ppr","2","7","9","108","15.4","44","2","0","1","-5","0","0","1","17.3","17.3","100.0%"
"3","Eric Ebron","TE","FA","2016",11,11,"ppr","3","3","5","70","23.3","61","1","0","1","1","1","0","1","16.1","16.1","0.0%"
"4","Zach Ertz","TE","ARI","2016",11,11,"ppr","4","6","11","35","5.8","11","0","1","0","0","0","0","1","15.5","15.5","32.6%"
"5","Zach Miller","TE","FA","2016",11,11,"ppr","5","3","3","61","20.3","34","1","1","0","0","0","0","1","15.1","15.1","0.0%"
"6","C.J. Fiedorowicz","TE","FA","2016",11,11,"ppr","6","6","10","82","13.7","20","1","0","0","0","0","0","1","14.2","14.2","0.0%"
"7","Vance McDonald","TE","FA","2016",11,11,"ppr","7","3","6","46","15.3","24","1","1","0","0","0","0","1","13.6","13.6","0.0%"
"8","Jimmy Graham","TE","FA","2016",11,11,"ppr","8","3","5","46","15.3","35","1","1","0","0","0","0","1","13.6","13.6","0.0%"
"9","Jordan Reed","TE","FA","2016",11,11,"ppr","9","5","6","79","15.8","28","2","0","0","0","0","0","1","12.9","12.9","19.0%"
"10","Jermaine Gresham","TE","FA","2016",11,11,"ppr","10","2","2","33","16.5","29","1","1","0","0","0","0","1","11.3","11.3","0.0%"
"11","Coby Fleener","TE","FA","2016",11,11,"ppr","11","3","5","17","5.7","8","0","1","0","0","0","0","1","10.7","10.7","0.0%"
"12","Gary Barnidge","TE","FA","2016",11,11,"ppr","12","2","6","23","11.5","14","0","1","0","0","0","0","1","10.3","10.3","0.1%"
"13","Will Tye","TE","FA","2016",11,11,"ppr","13","2","5","12","6.0","9","0","1","0","0","0","0","1","9.2","9.2","0.0%"
"14","Jason Witten","TE","FA","2016",11,11,"ppr","14","5","7","37","7.4","11","0","0","0","0","0","0","1","8.7","8.7","0.0%"
"15","Delanie Walker","TE","FA","2016",11,11,"ppr","15","4","6","36","9.0","14","0","0","0","0","0","0","1","7.6","7.6","0.1%"
"16","Charles Clay","TE","FA","2016",11,11,"ppr","16","5","7","23","4.6","6","0","0","0","0","0","0","1","7.3","7.3","0.0%"
"17","Greg Olsen","TE","FA","2016",11,11,"ppr","17","4","7","33","8.3","12","0","0","0","0","0","0","1","7.3","7.3","7.0%"
"18","Alan Cross","TE","FA","2016",11,11,"ppr","18","1","1","3","3.0","3","0","1","0","0","0","0","1","7.3","7.3","0.0%"
"19","Garrett Celek","TE","FA","2016",11,11,"ppr","19","3","3","41","13.7","19","0","0","0","0","0","0","1","7.1","7.1","0.0%"
"20","Richard Rodgers","TE","LAC","2016",11,11,"ppr","20","4","4","28","7.0","11","0","0","0","0","0","0","1","6.8","6.8","0.0%"
"21","Tyler Eifert","TE","FA","2016",11,11,"ppr","21","3","6","37","12.3","21","1","0","0","0","0","0","1","6.7","6.7","0.0%"
"22","Ryan Griffin","TE","CHI","2016",11,11,"ppr","22","3","5","32","10.7","20","1","0","0","0","0","0","1","6.2","6.2","0.0%"
"23","Dennis Pitta","TE","FA","2016",11,11,"ppr","23","3","5","30","10.0","18","0","0","0","0","0","0","1","6.0","6.0","0.0%"
"24","Lance Kendricks","TE","FA","2016",11,11,"ppr","24","4","7","38","9.5","20","1","0","0","0","0","1","1","5.8","5.8","0.0%"
"25","Dion Sims","TE","FA","2016",11,11,"ppr","25","3","4","20","6.7","9","0","0","0","0","0","0","1","5.0","5.0","0.0%"
"26","Clive Walford","TE","FA","2016",11,11,"ppr","26","2","4","28","14.0","17","0","0","0","0","0","0","1","4.8","4.8","0.0%"
