"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Ja'Marr Chase","WR","CIN","2022",7,7,"ppr","1","8","11","130","16.3","41","5","2","0","0","0","0","1","33.0","33.0","99.9%"
"2","Tyler Boyd","WR","CIN","2022",7,7,"ppr","2","8","9","155","19.4","60","6","1","0","0","0","0","1","29.5","29.5","74.0%"
"3","Mecole Hardman","WR","KC","2022",7,7,"ppr","3","4","4","32","8.0","18","0","1","2","28","2","0","1","28.0","28.0","28.0%"
"4","JuJu Smith-Schuster","WR","KC","2022",7,7,"ppr","4","7","8","124","17.7","45","4","1","0","0","0","0","1","25.4","25.4","93.5%"
"5","Parris Campbell","WR","IND","2022",7,7,"ppr","5","10","12","70","7.0","11","0","1","0","0","0","0","1","23.0","23.0","36.4%"
"6","Marquise Goodwin","WR","SEA","2022",7,7,"ppr","6","4","5","67","16.8","23","3","2","0","0","0","0","1","22.7","22.7","2.0%"
"7","Mike Williams","WR","LAC","2022",7,7,"ppr","7","7","9","86","12.3","21","1","1","0","0","0","0","1","21.6","21.6","95.8%"
"8","DeAndre Hopkins","WR","ARI","2022",7,7,"ppr","8","10","14","103","10.3","18","0","0","0","0","0","0","1","20.3","20.3","98.4%"
"9","DJ Moore","WR","CAR","2022",7,7,"ppr","9","7","10","69","9.9","21","2","1","1","-3","0","0","1","19.6","19.6","91.8%"
"10","Mike Evans","WR","TB","2022",7,7,"ppr","10","9","15","96","10.7","20","1","0","0","0","0","0","1","18.6","18.6","98.6%"
"11","Terry McLaurin","WR","WAS","2022",7,7,"ppr","11","5","8","73","14.6","37","2","1","0","0","0","0","1","18.3","18.3","98.1%"
"12","George Pickens","WR","PIT","2022",7,7,"ppr","12","6","6","61","10.2","30","2","1","0","0","0","0","1","18.1","18.1","67.3%"
"13","Chris Olave","WR","NO","2022",7,7,"ppr","13","7","14","106","15.1","41","3","0","0","0","0","0","1","17.6","17.6","93.4%"
"14","Davante Adams","WR","LV","2022",7,7,"ppr","14","8","9","95","11.9","16","0","0","0","0","0","0","1","17.5","17.5","100.0%"
"15","Christian Kirk","WR","JAC","2022",7,7,"ppr","15","7","10","96","13.7","34","2","0","1","5","0","0","1","17.1","17.1","94.9%"
"16","Jerry Jeudy","WR","DEN","2022",7,7,"ppr","16","7","11","96","13.7","45","3","0","0","0","0","0","1","16.6","16.6","89.9%"
"17","Ray-Ray McCloud","WR","SF","2022",7,7,"ppr","17","4","4","65","16.3","22","2","1","0","0","0","0","1","16.5","16.5","0.6%"
"18","Brandon Aiyuk","WR","SF","2022",7,7,"ppr","18","7","11","82","11.7","21","1","0","0","0","0","0","1","15.2","15.2","91.7%"
"19","Darius Slayton","WR","NYG","2022",7,7,"ppr","19","3","6","58","19.3","32","2","1","0","0","0","0","1","14.8","14.8","52.9%"
"20","Damiere Byrd","WR","ATL","2022",7,7,"ppr","20","1","1","75","75.0","75","4","1","0","0","0","0","1","14.5","14.5","0.1%"
"21","Kalif Raymond","WR","DET","2022",7,7,"ppr","21","5","6","75","15.0","20","1","0","2","20","0","0","1","14.5","14.5","2.8%"
"22","Tee Higgins","WR","CIN","2022",7,7,"ppr","22","5","7","93","18.6","25","3","0","0","0","0","0","1","14.3","14.3","99.1%"
"23","Tyreek Hill","WR","MIA","2022",7,7,"ppr","23","7","13","72","10.3","21","1","0","0","0","0","0","1","14.2","14.2","100.0%"
"24","Marquez Valdes-Scantling","WR","KC","2022",7,7,"ppr","24","3","4","111","37.0","57","7","0","0","0","0","0","1","14.1","14.1","45.8%"
"25","Curtis Samuel","WR","WAS","2022",7,7,"ppr","25","5","8","53","10.6","26","1","0","5","26","0","0","1","12.9","12.9","61.9%"
"26","Jaylen Waddle","WR","MIA","2022",7,7,"ppr","26","4","5","88","22.0","25","3","0","0","0","0","0","1","12.8","12.8","99.3%"
"27","Phillip Dorsett II","WR","HOU","2022",7,7,"ppr","27","2","3","45","22.5","25","2","1","0","0","0","0","1","12.5","12.5","0.7%"
"28","Mack Hollins","WR","LV","2022",7,7,"ppr","28","2","3","44","22.0","26","1","1","0","0","0","0","1","12.4","12.4","24.5%"
"29","Rashid Shaheed","WR","NO","2022",7,7,"ppr","29","1","1","53","53.0","53","4","1","0","0","0","0","1","12.3","12.3","0.9%"
"30","Tyler Lockett","WR","SEA","2022",7,7,"ppr","30","7","8","45","6.4","14","0","0","0","0","0","0","1","11.5","11.5","94.8%"
"31","Allen Lazard","WR","GB","2022",7,7,"ppr","31","6","7","55","9.2","17","0","0","0","0","0","0","1","11.5","11.5","84.7%"
"32","Chris Godwin","WR","TB","2022",7,7,"ppr","32","7","13","43","6.1","10","0","0","1","2","0","0","1","11.5","11.5","96.0%"
"33","Jakobi Meyers","WR","NE","2022",7,7,"ppr","33","2","2","34","17.0","30","2","1","0","0","0","0","1","11.4","11.4","69.3%"
