,Team,Player,Week,Rank,Expected_Points,Actual_Points,Difference
0,I love kirk cousins,Leonard Fournette,1,11,258.74,224.7,-34.04000000000002
1,I love kirk cousins,Davante Adams,1,3,253.59,323.2,69.60999999999999
2,I love kirk cousins,Mike Evans,1,11,223.32,225.4,2.0800000000000125
3,I love kirk cousins,Breece Hall,1,41,210.66,115.1,-95.56
4,I love kirk cousins,Brandin Cooks,1,51,215.1,124.0,-91.1
5,I love kirk cousins,Dalton Schultz,1,9,176.66,135.4,-41.25999999999999
6,I love kirk cousins,Devin Singletary,1,22,188.72,175.7,-13.02000000000001
7,I love kirk cousins,Amari Cooper,1,10,198.97,238.9,39.93000000000001
8,I love kirk cousins,Russell Wilson,1,17,302.42,202.64,-99.78000000000003
9,I love kirk cousins,Cordarrelle Patterson,1,32,167.88,144.8,-23.079999999999984
10,I love kirk cousins,Zach Ertz,1,18,148.18,115.6,-32.58000000000001
11,I love kirk cousins,Tyler Boyd,1,33,168.31,157.02,-11.289999999999992
12,I love kirk cousins,Evan McPherson,1,18,148.47,117.0,-31.47
13,I love kirk cousins,Patriots D/ST,1,1,90.39,168.0,77.61
14,I love kirk cousins,J.D. McKissic,1,66,144.62,55.8,-88.82000000000001
15,I love kirk cousins,Jalen Tolbert,1,194,21.28,3.2,-18.080000000000002
16,Livin on A prayer ,Justin Jefferson,1,1,287.8,360.86,73.06
17,Livin on A prayer ,Justin Herbert,1,12,328.04,262.44,-65.60000000000002
18,Livin on A prayer ,Nick Chubb,1,6,216.04,258.2,42.16
19,Livin on A prayer ,George Kittle,1,4,169.59,181.6,12.009999999999991
20,Livin on A prayer ,Josh Jacobs,1,3,210.51,321.3,110.79000000000002
21,Livin on A prayer ,DK Metcalf,1,15,212.43,219.8,7.3700000000000045
22,Livin on A prayer ,Miles Sanders,1,13,184.65,213.4,28.75
23,Livin on A prayer ,Nick Folk,1,8,141.25,136.0,-5.25
24,Livin on A prayer ,Tyler Lockett,1,12,197.01,221.9,24.890000000000015
25,Livin on A prayer ,Brandon Aiyuk,1,17,184.92,217.9,32.98000000000002
26,Livin on A prayer ,James Cook,1,44,126.71,98.6,-28.11
27,Livin on A prayer ,Bills D/ST,1,5,143.85,119.0,-24.849999999999994
28,Livin on A prayer ,Hunter Henry,1,21,146.38,93.7,-52.67999999999999
29,Livin on A prayer ,Rex Burkhead,1,56,125.89,76.3,-49.59
30,Livin on A prayer ,Jarvis Landry,1,102,144.95,60.2,-84.74999999999999
31,Livin on A prayer ,Matthew Stafford,1,32,285.7,108.38,-177.32
32,Cougar Town Zach Wilson,Deebo Samuel,1,35,261.46,164.0,-97.45999999999998
33,Cougar Town Zach Wilson,Josh Allen,1,2,374.63,373.76,-0.8700000000000045
34,Cougar Town Zach Wilson,James Conner,1,16,240.04,200.2,-39.84
35,Cougar Town Zach Wilson,David Montgomery,1,23,219.92,175.6,-44.31999999999999
36,Cougar Town Zach Wilson,Elijah Mitchell,1,93,197.42,26.1,-171.32
37,Cougar Town Zach Wilson,Gabe Davis,1,34,207.23,164.7,-42.53
38,Cougar Town Zach Wilson,Justin Tucker,1,3,144.4,146.0,1.5999999999999943
39,Cougar Town Zach Wilson,Dallas Goedert,1,12,150.33,130.6,-19.730000000000018
40,Cougar Town Zach Wilson,Damien Harris,1,51,174.55,84.7,-89.85000000000001
41,Cougar Town Zach Wilson,Elijah Moore,1,81,198.34,86.0,-112.34
42,Cougar Town Zach Wilson,Dawson Knox,1,16,146.56,126.4,-20.159999999999997
43,Cougar Town Zach Wilson,DJ Chark,1,75,146.04,93.8,-52.239999999999995
44,Cougar Town Zach Wilson,Steelers D/ST,1,22,108.82,85.0,-23.819999999999993
45,Cougar Town Zach Wilson,Noah Fant,1,17,139.83,116.6,-23.230000000000018
46,Cougar Town Zach Wilson,Brian Robinson Jr.,1,42,102.87,112.7,9.829999999999998
47,Cougar Town Zach Wilson,Kirk Cousins,1,9,269.17,278.58,9.409999999999968
48,Couv Reigning Champ,Dalvin Cook,1,10,258.49,235.1,-23.390000000000015
49,Couv Reigning Champ,D'Andre Swift,1,24,253.66,175.5,-78.16
50,Couv Reigning Champ,Javonte Williams,1,78,238.99,42.0,-196.99
51,Couv Reigning Champ,Michael Pittman Jr.,1,20,236.16,204.5,-31.659999999999997
52,Couv Reigning Champ,Jaylen Waddle,1,8,218.23,248.9,30.670000000000016
53,Couv Reigning Champ,Kyler Murray,1,18,314.0,200.52,-113.47999999999999
54,Couv Reigning Champ,Chris Godwin,1,18,198.2,213.3,15.100000000000023
55,Couv Reigning Champ,Rashod Bateman,1,107,197.96,53.5,-144.46
56,Couv Reigning Champ,Melvin Gordon III,1,49,144.72,87.1,-57.620000000000005
57,Couv Reigning Champ,Christian Kirk,1,14,200.01,220.0,19.99000000000001
58,Couv Reigning Champ,Mike Gesicki,1,24,135.9,89.6,-46.30000000000001
59,Couv Reigning Champ,Alexander Mattison,1,60,109.64,69.4,-40.239999999999995
60,Couv Reigning Champ,Ravens D/ST,1,6,119.59,123.0,3.4099999999999966
61,Couv Reigning Champ,Nyheim Hines,1,60,144.64,69.4,-75.23999999999998
62,Couv Reigning Champ,Harrison Butker,1,29,145.15,89.0,-56.150000000000006
63,Couv Reigning Champ,Rondale Moore,1,80,130.69,87.9,-42.78999999999999
64,Couv Reigning Champ,Robert Tonyan,1,19,122.08,106.1,-15.980000000000004
65,Gorilla Guys,Derrick Henry,1,4,264.47,288.96,24.489999999999952
66,Gorilla Guys,Joe Mixon,1,12,258.91,221.7,-37.210000000000036
67,Gorilla Guys,Keenan Allen,1,48,237.62,133.8,-103.82
