,Week,Team,Player,Projected_Points,Actual_Points,Rank,Position
0,1,Couv Reigning Champ,Dalvin Cook,16.77,13.8,18,RB
1,2,Couv Reigning Champ,Dalvin Cook,17.96,7.6,17,RB
2,3,Couv Reigning Champ,Dalvin Cook,15.72,26.1,30,RB
3,4,Couv Reigning Champ,Dalvin Cook,0.0,0.0,0,RB
4,5,Couv Reigning Champ,Dalvin Cook,17.07,13.6,3,RB
5,6,Couv Reigning Champ,Dalvin Cook,17.78,7.2,2,RB
6,7,Couv Reigning Champ,Dalvin Cook,15.89,9.6,5,RB
7,8,Couv Reigning Champ,Dalvin Cook,16.77,13.8,18,RB
8,9,Couv Reigning Champ,Dalvin Cook,17.96,7.6,17,RB
9,10,Couv Reigning Champ,Dalvin Cook,15.72,26.1,30,RB
10,11,Couv Reigning Champ,Dalvin Cook,0.0,0.0,0,RB
11,12,Couv Reigning Champ,Dalvin Cook,17.07,13.6,3,RB
12,1,Couv Reigning Champ,D'Andre Swift,16.04,26.5,17,RB
13,2,Couv Reigning Champ,D'Andre Swift,15.63,16.7,3,RB
14,3,Couv Reigning Champ,D'Andre Swift,0.0,0.0,5,RB
15,4,Couv Reigning Champ,D'Andre Swift,0.0,0.0,2,RB
16,5,Couv Reigning Champ,D'Andre Swift,13.05,8.0,18,RB
17,6,Couv Reigning Champ,D'Andre Swift,11.34,10.3,11,RB
18,7,Couv Reigning Champ,D'Andre Swift,10.71,21.1,20,RB
19,8,Couv Reigning Champ,D'Andre Swift,16.04,26.5,17,RB
20,9,Couv Reigning Champ,D'Andre Swift,15.63,16.7,3,RB
21,10,Couv Reigning Champ,D'Andre Swift,0.0,0.0,5,RB
22,11,Eugene Tweakers,D'Andre Swift,0.0,0.0,2,RB
23,12,Eugene Tweakers,D'Andre Swift,13.05,8.0,18,RB
24,1,Couv Reigning Champ,Javonte Williams,15.27,19.8,31,RB
25,2,Couv Reigning Champ,Javonte Williams,16.03,9.5,32,RB
26,3,Couv Reigning Champ,Javonte Williams,15.27,19.8,31,RB
27,4,Couv Reigning Champ,Javonte Williams,16.03,9.5,32,RB
28,1,Couv Reigning Champ,Michael Pittman Jr.,14.88,27.1,4,WR
29,2,Couv Reigning Champ,Michael Pittman Jr.,0.0,0.0,17,WR
30,3,Couv Reigning Champ,Michael Pittman Jr.,14.95,10.9,1,WR
31,4,Couv Reigning Champ,Michael Pittman Jr.,15.25,9.8,32,WR
32,5,Couv Reigning Champ,Michael Pittman Jr.,13.42,5.2,16,WR
33,6,Couv Reigning Champ,Michael Pittman Jr.,13.83,13.5,8,WR
34,7,Couv Reigning Champ,Michael Pittman Jr.,13.54,19.1,20,WR
35,8,Couv Reigning Champ,Michael Pittman Jr.,14.88,27.1,4,WR
36,9,Couv Reigning Champ,Michael Pittman Jr.,0.0,0.0,17,WR
37,10,Couv Reigning Champ,Michael Pittman Jr.,14.95,10.9,1,WR
38,11,Couv Reigning Champ,Michael Pittman Jr.,15.25,9.8,32,WR
39,12,Couv Reigning Champ,Michael Pittman Jr.,13.42,5.2,16,WR
40,1,Couv Reigning Champ,Jaylen Waddle,13.5,17.7,16,WR
41,2,Couv Reigning Champ,Jaylen Waddle,13.17,40.1,21,WR
42,3,Couv Reigning Champ,Jaylen Waddle,15.26,5.3,2,WR
43,4,Couv Reigning Champ,Jaylen Waddle,15.15,12.8,20,WR
44,5,Couv Reigning Champ,Jaylen Waddle,15.41,19.5,11,WR
45,6,Couv Reigning Champ,Jaylen Waddle,0.0,0.0,0,WR
46,7,Couv Reigning Champ,Jaylen Waddle,14.84,13.5,4,WR
47,8,Couv Reigning Champ,Jaylen Waddle,13.5,17.7,16,WR
48,9,Couv Reigning Champ,Jaylen Waddle,13.17,40.1,21,WR
49,10,Couv Reigning Champ,Jaylen Waddle,15.26,5.3,2,WR
50,11,Couv Reigning Champ,Jaylen Waddle,15.15,12.8,20,WR
51,12,Couv Reigning Champ,Jaylen Waddle,15.41,19.5,11,WR
52,1,Couv Reigning Champ,Kyler Murray,20.55,20.62,30,QB
53,2,Couv Reigning Champ,Kyler Murray,20.05,25.88,27,QB
54,3,Couv Reigning Champ,Kyler Murray,18.09,16.2,5,QB
55,4,Couv Reigning Champ,Kyler Murray,19.12,17.16,15,QB
56,5,Couv Reigning Champ,Kyler Murray,19.29,19.0,16,QB
57,6,Couv Reigning Champ,Kyler Murray,0.0,0.0,8,QB
58,7,Couv Reigning Champ,Kyler Murray,20.18,25.24,11,QB
59,8,Couv Reigning Champ,Kyler Murray,20.55,20.62,30,QB
60,9,Couv Reigning Champ,Kyler Murray,20.05,25.88,27,QB
61,10,Couv Reigning Champ,Kyler Murray,18.09,16.2,5,QB
62,11,Couv Reigning Champ,Kyler Murray,19.12,17.16,15,QB
63,12,Couv Reigning Champ,Kyler Murray,19.29,19.0,16,QB
64,1,Couv Reigning Champ,Chris Godwin,10.38,6.5,28,WR
65,2,Couv Reigning Champ,Chris Godwin,0.0,0.0,12,WR
66,3,Couv Reigning Champ,Chris Godwin,15.41,12.3,23,WR
67,4,Couv Reigning Champ,Chris Godwin,14.86,11.5,30,WR
68,5,Couv Reigning Champ,Chris Godwin,13.88,10.7,24,WR
69,6,Couv Reigning Champ,Chris Godwin,0.0,0.0,0,WR
70,7,Couv Reigning Champ,Chris Godwin,14.45,29.0,6,WR
71,8,Couv Reigning Champ,Chris Godwin,10.38,6.5,28,WR
72,9,Couv Reigning Champ,Chris Godwin,0.0,0.0,12,WR
73,10,Couv Reigning Champ,Chris Godwin,15.41,12.3,23,WR
74,11,Couv Reigning Champ,Chris Godwin,14.86,11.5,30,WR
75,12,Couv Reigning Champ,Chris Godwin,13.88,10.7,24,WR
76,1,Couv Reigning Champ,Rashod Bateman,12.2,13.9,2,WR
77,2,Couv Reigning Champ,Rashod Bateman,11.25,20.8,19,WR
78,3,Couv Reigning Champ,Rashod Bateman,0.0,0.0,13,WR
79,4,Couv Reigning Champ,Rashod Bateman,11.73,8.2,6,WR
80,5,Couv Reigning Champ,Rashod Bateman,12.2,13.9,2,WR
81,6,Couv Reigning Champ,Rashod Bateman,11.25,20.8,19,WR
82,7,Couv Reigning Champ,Rashod Bateman,0.0,0.0,13,WR
83,8,Couv Reigning Champ,Rashod Bateman,11.73,8.2,6,WR
84,1,Couv Reigning Champ,Melvin Gordon III,8.97,7.2,0,RB
85,2,Couv Reigning Champ,Melvin Gordon III,11.39,6.3,0,RB
86,3,Couv Reigning Champ,Melvin Gordon III,13.49,13.3,0,RB
87,4,Couv Reigning Champ,Melvin Gordon III,7.44,7.0,0,RB
88,5,Couv Reigning Champ,Melvin Gordon III,0.0,0.0,0,RB
89,6,Couv Reigning Champ,Melvin Gordon III,9.68,12.0,0,RB
90,7,Couv Reigning Champ,Melvin Gordon III,8.97,7.2,0,RB
91,8,Couv Reigning Champ,Melvin Gordon III,11.39,6.3,0,RB
92,9,Couv Reigning Champ,Melvin Gordon III,13.49,13.3,0,RB
93,11,I love kirk cousins,Melvin Gordon III,0.0,0.0,0,RB
94,1,Couv Reigning Champ,Christian Kirk,12.81,17.7,15,WR
95,2,Couv Reigning Champ,Christian Kirk,12.61,25.8,7,WR
96,3,Couv Reigning Champ,Christian Kirk,15.95,2.1,4,WR
97,4,Couv Reigning Champ,Christian Kirk,12.65,17.1,14,WR
98,5,Couv Reigning Champ,Christian Kirk,13.42,21.6,18,WR
99,6,Couv Reigning Champ,Christian Kirk,0.0,0.0,0,WR
100,7,Couv Reigning Champ,Christian Kirk,14.0,8.1,21,WR
101,8,Couv Reigning Champ,Christian Kirk,12.81,17.7,15,WR
102,9,Couv Reigning Champ,Christian Kirk,12.61,25.8,7,WR
103,10,Couv Reigning Champ,Christian Kirk,15.95,2.1,4,WR
104,11,Couv Reigning Champ,Christian Kirk,12.65,17.1,14,WR
105,12,Couv Reigning Champ,Christian Kirk,13.42,21.6,18,WR
106,1,Couv Reigning Champ,Mike Gesicki,8.57,1.1,19,TE
107,1,Couv Reigning Champ,Alexander Mattison,4.33,3.6,18,RB
108,2,Couv Reigning Champ,Alexander Mattison,4.8,4.4,17,RB
109,3,Couv Reigning Champ,Alexander Mattison,4.65,7.0,30,RB
110,4,Couv Reigning Champ,Alexander Mattison,4.33,3.6,18,RB
111,5,Couv Reigning Champ,Alexander Mattison,4.8,4.4,17,RB
112,6,Couv Reigning Champ,Alexander Mattison,4.65,7.0,30,RB
113,1,Couv Reigning Champ,Ravens D/ST,5.79,9.0,22,D/ST
114,2,Couv Reigning Champ,Ravens D/ST,5.87,2.0,12,D/ST
115,3,Couv Reigning Champ,Ravens D/ST,3.65,5.0,9,D/ST
116,7,Gorilla Guys,Ravens D/ST,5.87,2.0,12,D/ST
117,8,Gorilla Guys,Ravens D/ST,3.65,5.0,9,D/ST
118,11,Couv Reigning Champ,Ravens D/ST,5.79,9.0,22,D/ST
119,12,Couv Reigning Champ,Ravens D/ST,5.87,2.0,12,D/ST
120,1,Couv Reigning Champ,Nyheim Hines,8.26,11.4,19,RB
121,2,Couv Reigning Champ,Nyheim Hines,9.56,7.7,6,RB
122,3,Couv Reigning Champ,Nyheim Hines,12.49,1.8,7,RB
123,4,Couv Reigning Champ,Nyheim Hines,8.78,9.3,0,RB
124,5,Couv Reigning Champ,Nyheim Hines,3.29,0.3,9,RB
125,6,Couv Reigning Champ,Nyheim Hines,8.26,11.4,19,RB
126,7,Couv Reigning Champ,Nyheim Hines,9.56,7.7,6,RB
127,9,Diggy Wit it,Nyheim Hines,8.78,9.3,0,RB
128,10,Diggy Wit it,Nyheim Hines,3.29,0.3,9,RB
129,11,Diggy Wit it,Nyheim Hines,8.26,11.4,19,RB
130,12,Diggy Wit it,Nyheim Hines,9.56,7.7,6,RB
131,1,Couv Reigning Champ,Harrison Butker,8.28,9.0,27,K
132,6,Gorilla Guys,Harrison Butker,7.78,5.0,28,K
133,7,Gorilla Guys,Harrison Butker,8.28,9.0,27,K
134,9,Eugene Tweakers,Harrison Butker,8.29,5.0,5,K
135,10,Eugene Tweakers,Harrison Butker,8.09,3.0,9,K
136,11,Eugene Tweakers,Harrison Butker,8.01,14.0,29,K
137,12,Eugene Tweakers,Harrison Butker,7.78,5.0,28,K
138,1,Couv Reigning Champ,Rondale Moore,0.0,0.0,25,WR
139,4,Couv Reigning Champ,Rondale Moore,11.87,14.9,3,WR
140,5,Couv Reigning Champ,Rondale Moore,0.0,0.0,5,WR
141,6,Couv Reigning Champ,Rondale Moore,0.0,0.0,25,WR
142,7,Couv Reigning Champ,Rondale Moore,10.23,13.1,8,WR
143,8,Couv Reigning Champ,Rondale Moore,11.5,4.1,12,WR
144,9,Couv Reigning Champ,Rondale Moore,11.87,14.9,3,WR
145,10,Couv Reigning Champ,Rondale Moore,0.0,0.0,5,WR
146,11,Eugene Tweakers,Rondale Moore,0.0,0.0,25,WR
147,12,Eugene Tweakers,Rondale Moore,10.23,13.1,8,WR
148,1,Couv Reigning Champ,Robert Tonyan,8.66,6.6,17,TE
149,4,Diggy Wit it,Robert Tonyan,8.55,8.5,2,TE
150,5,Diggy Wit it,Robert Tonyan,8.66,6.6,17,TE
151,7,Diggy Wit it,Robert Tonyan,7.72,6.3,24,TE
152,8,Diggy Wit it,Robert Tonyan,8.55,8.5,2,TE
153,9,Diggy Wit it,Robert Tonyan,8.66,6.6,17,TE
154,10,Diggy Wit it,Robert Tonyan,8.34,10.2,19,TE
155,11,Diggy Wit it,Robert Tonyan,7.72,6.3,24,TE
156,1,Diggy Wit it,Christian McCaffrey,20.99,15.7,30,RB
157,2,Diggy Wit it,Christian McCaffrey,22.03,25.8,19,RB
158,3,Diggy Wit it,Christian McCaffrey,18.13,23.4,14,RB
159,4,Diggy Wit it,Christian McCaffrey,21.02,22.8,16,RB
160,5,Diggy Wit it,Christian McCaffrey,18.54,40.26,19,RB
161,6,Diggy Wit it,Christian McCaffrey,18.08,8.9,13,RB
162,7,Diggy Wit it,Christian McCaffrey,18.78,29.3,4,RB
163,8,Diggy Wit it,Christian McCaffrey,21.95,25.8,31,RB
164,9,Diggy Wit it,Christian McCaffrey,20.99,15.7,30,RB
165,10,Diggy Wit it,Christian McCaffrey,22.03,25.8,19,RB
166,11,Diggy Wit it,Christian McCaffrey,18.13,23.4,14,RB
167,12,Diggy Wit it,Christian McCaffrey,21.02,22.8,16,RB
168,1,Diggy Wit it,Stefon Diggs,16.67,26.2,24,WR
169,2,Diggy Wit it,Stefon Diggs,20.73,10.2,21,WR
170,3,Diggy Wit it,Stefon Diggs,18.64,24.2,20,WR
171,4,Diggy Wit it,Stefon Diggs,20.93,30.8,25,WR
172,5,Diggy Wit it,Stefon Diggs,18.62,22.8,9,WR
173,6,Diggy Wit it,Stefon Diggs,21.2,21.7,29,WR
174,7,Diggy Wit it,Stefon Diggs,18.25,6.7,2,WR
175,8,Diggy Wit it,Stefon Diggs,17.85,10.7,19,WR
176,9,Diggy Wit it,Stefon Diggs,16.67,26.2,24,WR
177,10,Diggy Wit it,Stefon Diggs,20.73,10.2,21,WR
178,11,Diggy Wit it,Stefon Diggs,18.64,24.2,20,WR
179,12,Diggy Wit it,Stefon Diggs,20.93,30.8,25,WR
180,1,Diggy Wit it,Aaron Jones,15.71,10.6,23,RB
181,2,Diggy Wit it,Aaron Jones,14.72,14.5,5,RB
182,3,Diggy Wit it,Aaron Jones,14.79,10.0,15,RB
183,4,Diggy Wit it,Aaron Jones,14.93,7.4,12,RB
184,5,Diggy Wit it,Aaron Jones,13.67,19.7,11,RB
185,6,Diggy Wit it,Aaron Jones,15.29,18.9,17,RB
186,7,Diggy Wit it,Aaron Jones,0.0,0.0,0,RB
187,8,Diggy Wit it,Aaron Jones,15.47,20.6,19,RB
188,9,Diggy Wit it,Aaron Jones,15.71,10.6,23,RB
189,10,Diggy Wit it,Aaron Jones,14.72,14.5,5,RB
190,11,Diggy Wit it,Aaron Jones,14.79,10.0,15,RB
191,12,Diggy Wit it,Aaron Jones,14.93,7.4,12,RB
192,1,Diggy Wit it,Mike Williams,13.85,3.0,18,WR
193,2,Diggy Wit it,Mike Williams,13.99,19.0,4,WR
194,3,Diggy Wit it,Mike Williams,15.77,23.4,6,WR
195,4,Diggy Wit it,Mike Williams,13.45,3.7,1,WR
196,5,Diggy Wit it,Mike Williams,0.0,0.0,0,WR
197,6,Diggy Wit it,Mike Williams,0.0,0.0,10,WR
198,7,Diggy Wit it,Mike Williams,13.69,23.6,19,WR
199,8,Diggy Wit it,Mike Williams,14.0,10.7,32,WR
200,9,Diggy Wit it,Mike Williams,13.85,3.0,18,WR
201,10,Diggy Wit it,Mike Williams,13.99,19.0,4,WR
202,11,Diggy Wit it,Mike Williams,15.77,23.4,6,WR
203,12,Diggy Wit it,Mike Williams,13.45,3.7,1,WR
204,1,Diggy Wit it,DJ Moore,14.48,8.0,6,WR
205,2,Diggy Wit it,DJ Moore,13.52,12.1,10,WR
206,3,Diggy Wit it,DJ Moore,12.2,10.7,27,WR
207,4,Diggy Wit it,DJ Moore,12.41,3.7,24,WR
208,5,Diggy Wit it,DJ Moore,13.88,27.5,23,WR
209,6,Diggy Wit it,DJ Moore,10.76,20.3,1,WR
210,7,Diggy Wit it,DJ Moore,12.58,0.6,3,WR
211,8,Diggy Wit it,DJ Moore,10.91,18.3,20,WR
212,9,Diggy Wit it,DJ Moore,14.48,8.0,6,WR
213,10,Diggy Wit it,DJ Moore,13.52,12.1,10,WR
214,11,Diggy Wit it,DJ Moore,12.2,10.7,27,WR
215,12,Diggy Wit it,DJ Moore,12.41,3.7,24,WR
216,1,Diggy Wit it,Courtland Sutton,12.82,11.2,3,WR
217,2,Diggy Wit it,Courtland Sutton,15.4,16.2,18,WR
218,3,Diggy Wit it,Courtland Sutton,16.07,12.4,7,WR
219,4,Diggy Wit it,Courtland Sutton,16.79,3.4,5,WR
220,5,Diggy Wit it,Courtland Sutton,13.29,2.3,17,WR
221,6,Diggy Wit it,Courtland Sutton,13.0,13.5,30,WR
222,7,Diggy Wit it,Courtland Sutton,0.0,0.0,25,WR
223,8,Diggy Wit it,Courtland Sutton,0.0,0.0,10,WR
224,9,Diggy Wit it,Courtland Sutton,12.82,11.2,3,WR
225,10,Diggy Wit it,Courtland Sutton,15.4,16.2,18,WR
226,11,Diggy Wit it,Courtland Sutton,16.07,12.4,7,WR
227,12,Diggy Wit it,Courtland Sutton,16.79,3.4,5,WR
228,1,Diggy Wit it,Allen Robinson II,12.86,2.2,22,WR
229,2,Diggy Wit it,Allen Robinson II,10.76,2.7,27,WR
230,3,Diggy Wit it,Allen Robinson II,9.15,4.2,28,WR
231,4,Diggy Wit it,Allen Robinson II,7.92,17.3,30,WR
232,5,Diggy Wit it,Allen Robinson II,9.13,10.4,27,WR
233,6,Diggy Wit it,Allen Robinson II,0.0,0.0,25,WR
234,7,Diggy Wit it,Allen Robinson II,12.86,2.2,22,WR
235,8,Diggy Wit it,Allen Robinson II,10.76,2.7,27,WR
236,9,Diggy Wit it,Allen Robinson II,9.15,4.2,28,WR
237,10,Diggy Wit it,Allen Robinson II,7.92,17.3,30,WR
238,11,Diggy Wit it,Allen Robinson II,9.13,10.4,27,WR
239,12,Diggy Wit it,Allen Robinson II,0.0,0.0,25,WR
240,1,Diggy Wit it,Rashaad Penny,13.18,8.7,24,RB
241,2,Diggy Wit it,Rashaad Penny,11.03,28.7,9,RB
242,3,Diggy Wit it,Rashaad Penny,9.07,5.4,13,RB
243,4,Diggy Wit it,Rashaad Penny,13.18,8.7,24,RB
244,5,Diggy Wit it,Rashaad Penny,11.03,28.7,9,RB
245,1,Diggy Wit it,Trey Lance,17.51,9.96,26,QB
246,2,Diggy Wit it,Trey Lance,17.51,9.96,26,QB
247,1,Diggy Wit it,Chase Edmonds,10.65,10.5,31,RB
248,2,Diggy Wit it,Chase Edmonds,11.23,10.0,28,RB
249,3,Diggy Wit it,Chase Edmonds,9.33,0.1,26,RB
250,4,Diggy Wit it,Chase Edmonds,7.2,5.1,25,RB
251,5,Diggy Wit it,Chase Edmonds,8.24,1.4,20,RB
252,6,Diggy Wit it,Chase Edmonds,0.0,0.0,14,RB
253,7,Diggy Wit it,Chase Edmonds,10.65,10.5,31,RB
254,8,Diggy Wit it,Chase Edmonds,11.23,10.0,28,RB
255,9,Diggy Wit it,Chase Edmonds,9.33,0.1,26,RB
256,10,Diggy Wit it,Chase Edmonds,7.2,5.1,25,RB
257,11,Diggy Wit it,Chase Edmonds,8.24,1.4,20,RB
258,12,Diggy Wit it,Chase Edmonds,0.0,0.0,14,RB
259,1,Diggy Wit it,Cole Kmet,7.89,0.0,9,TE
260,2,Diggy Wit it,Cole Kmet,9.63,5.7,23,TE
261,11,Diggy Wit it,Cole Kmet,0.0,0.0,0,TE
262,12,Diggy Wit it,Cole Kmet,8.92,6.5,12,TE
263,1,Diggy Wit it,Buccaneers D/ST,4.95,12.0,6,D/ST
264,3,I love  Tyler Higbee,Buccaneers D/ST,6.71,4.0,20,D/ST
265,4,I love  Tyler Higbee,Buccaneers D/ST,4.18,5.0,14,D/ST
266,5,I love kirk cousins,Buccaneers D/ST,5.78,5.0,26,D/ST
267,6,I love kirk cousins,Buccaneers D/ST,5.15,-4.0,7,D/ST
268,7,I love kirk cousins,Buccaneers D/ST,4.95,12.0,6,D/ST
269,9,Gorilla Guys,Buccaneers D/ST,6.71,4.0,20,D/ST
270,10,Gorilla Guys,Buccaneers D/ST,4.18,5.0,14,D/ST
271,11,Gorilla Guys,Buccaneers D/ST,5.78,5.0,26,D/ST
272,12,Gorilla Guys,Buccaneers D/ST,5.15,-4.0,7,D/ST
273,1,Diggy Wit it,Robert Woods,11.47,2.3,14,WR
274,2,Diggy Wit it,Robert Woods,0.0,0.0,0,WR
275,5,Cougar Town Zach Wilson,Robert Woods,9.49,1.6,8,WR
276,6,Cougar Town Zach Wilson,Robert Woods,9.62,9.9,17,WR
277,7,Cougar Town Zach Wilson,Robert Woods,8.32,3.2,5,WR
278,8,Cougar Town Zach Wilson,Robert Woods,11.47,2.3,14,WR
279,9,Cougar Town Zach Wilson,Robert Woods,0.0,0.0,0,WR
280,10,Cougar Town Zach Wilson,Robert Woods,8.47,2.6,4,WR
281,11,Cougar Town Zach Wilson,Robert Woods,7.53,3.0,1,WR
282,12,Cougar Town Zach Wilson,Robert Woods,9.49,1.6,8,WR
283,1,Diggy Wit it,Daniel Carlson,7.85,9.0,19,K
284,2,Diggy Wit it,Daniel Carlson,8.09,14.0,31,K
285,3,Diggy Wit it,Daniel Carlson,8.58,16.0,12,K
286,4,Diggy Wit it,Daniel Carlson,0.0,0.0,0,K
287,5,Diggy Wit it,Daniel Carlson,7.77,0.0,24,K
288,6,Diggy Wit it,Daniel Carlson,7.92,9.0,10,K
289,7,Diggy Wit it,Daniel Carlson,8.17,12.0,29,K
