"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"Mike Evans","WR","TB","7","18","14","11","12","bye","13","11","17","5","13","11","6","8","8","8","11","173","10.8"
"Odell Beckham Jr.","WR","NYG","8","11","11","9","12","10","9","bye","10","11","7","11","16","9","8","20","7","169","10.6"
"Antonio Brown","WR","PIT","11","11","18","5","11","8","11","bye","11","18","10","6","7","11","5","11","-","154","10.3"
"A.J. Green","WR","CIN","13","8","11","12","8","10","8","18","bye","11","1","-","-","-","-","-","-","100","10.0"
"Julian Edelman","WR","NE","7","10","6","4","10","7","10","8","bye","9","17","11","12","15","12","8","13","159","9.9"
"T.Y. Hilton","WR","IND","12","11","11","10","11","9","12","6","8","bye","9","5","10","13","7","9","12","155","9.7"
"Allen Robinson II","WR","JAC","15","5","11","10","bye","6","8","15","12","13","7","4","10","3","8","12","12","151","9.4"
"DeAndre Hopkins","WR","HOU","8","11","8","6","9","15","12","7","bye","13","6","10","8","4","17","6","11","151","9.4"
"Larry Fitzgerald","WR","ARI","10","10","12","7","8","9","14","11","bye","18","7","4","11","9","9","4","7","150","9.4"
"Julio Jones","WR","ATL","8","5","7","15","6","9","15","5","11","16","bye","7","9","-","-","7","9","129","9.2"
"Michael Crabtree","WR","OAK","9","5","11","12","7","4","11","16","6","-","7","13","11","7","8","10","8","145","9.1"
"Kevin White","WR","CHI","7","6","14","9","-","-","-","-","bye","-","-","-","-","-","-","-","-","36","9.0"
"Emmanuel Sanders","WR","DEN","8","8","13","13","9","6","8","10","11","9","bye","10","9","14","6","3","0","137","8.6"
"Stefon Diggs","WR","MIN","9","11","7","7","-","bye","5","13","14","15","7","-","8","5","5","6","-","112","8.6"
"Jordan Matthews","WR","PHI","14","9","3","bye","4","7","4","15","10","10","10","4","-","10","11","6","-","117","8.4"
"Golden Tate","WR","DET","7","9","6","4","5","10","12","9","12","bye","4","7","10","11","13","6","10","135","8.4"
"Amari Cooper","WR","OAK","11","9","9","6","12","13","5","15","8","-","5","7","4","10","3","7","8","132","8.3"
"Kyle Rudolph","TE","MIN","8","8","10","7","4","bye","11","6","3","8","3","10","12","8","10","9","15","132","8.3"
"Jarvis Landry","WR","MIA","10","13","12","10","3","9","8","bye","6","6","5","7","14","6","4","6","12","131","8.2"
"Greg Olsen","TE","CAR","9","8","10","13","13","7","bye","3","7","8","7","5","7","7","9","12","4","129","8.1"
"Michael Thomas","WR","NO","6","5","11","9","bye","5","13","6","8","6","5","10","5","-","10","8","14","121","8.1"
"Alshon Jeffery","WR","CHI","6","7","7","5","6","13","11","8","bye","9","-","-","-","-","9","10","3","94","7.8"
"Le'Veon Bell","RB","PIT","-","-","-","6","11","7","13","bye","9","10","9","5","7","5","8","4","-","94","7.8"
"Davante Adams","WR","GB","7","7","2","bye","8","3","16","14","8","9","6","6","7","6","6","7","9","121","7.6"
"Zach Ertz","TE","PHI","7","-","-","bye","3","3","3","4","8","7","11","6","15","13","8","2","16","106","7.6"
"David Johnson","RB","ARI","6","5","6","4","6","6","13","9","bye","7","11","11","12","8","5","7","4","120","7.5"
"Tyrell Williams","WR","LAC","5","6","9","8","6","3","10","6","7","11","-","14","4","5","9","9","7","119","7.4"
"Dez Bryant","WR","DAL","5","12","6","-","-","-","bye","14","4","9","8","7","6","9","10","5","1","96","7.4"
"Jordan Reed","TE","WAS","11","7","7","10","11","-","-","13","bye","4","6","12","-","1","1","-","6","89","7.4"
"Brandin Cooks","WR","NO","9","9","8","6","bye","9","9","6","6","5","8","0","9","10","8","9","6","117","7.3"
"Corey Coleman","WR","CLE","5","8","-","-","-","-","-","-","7","5","12","7","bye","11","4","5","9","73","7.3"
"Travis Kelce","TE","KC","7","7","7","8","bye","3","3","10","7","6","9","15","8","8","5","12","2","117","7.3"
"Tavon Austin","WR","LAR","12","9","8","6","10","4","15","bye","2","7","2","4","-","11","5","7","4","106","7.1"
"Keenan Allen","WR","LAC","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7","7.0"
"Allen Hurns","WR","JAC","5","10","8","4","bye","11","7","11","4","7","2","7","-","-","-","-","-","76","6.9"
"Willie Snead IV","WR","NO","9","8","-","1","bye","7","11","8","7","7","5","7","6","8","11","5","4","104","6.9"
"Marvin Jones Jr.","WR","DET","10","11","8","7","5","6","5","7","5","bye","2","11","-","5","5","7","9","103","6.9"
"Theo Riddick","RB","DET","5","5","9","7","6","-","-","11","3","bye","10","5","6","-","-","-","-","67","6.7"
"DeSean Jackson","WR","WAS","10","5","8","2","7","9","8","7","bye","-","6","8","4","4","10","7","5","100","6.7"
"William Fuller V","WR","HOU","11","7","7","9","6","-","7","4","bye","-","4","6","6","4","8","6","7","92","6.6"
"Sterling Shepard","WR","NYG","4","8","7","7","7","8","7","bye","6","7","11","0","8","4","5","11","5","105","6.6"
"Randall Cobb","WR","GB","8","7","3","bye","11","11","15","-","2","8","5","7","3","3","1","-","-","84","6.5"
"Sammy Watkins","WR","BUF","6","5","-","-","-","-","-","-","-","bye","-","3","9","6","4","10","9","52","6.5"
"Eric Ebron","TE","DET","5","7","8","5","-","-","-","10","8","bye","5","1","6","5","7","12","6","85","6.5"
"Donte Moncrief","WR","IND","7","3","-","-","-","-","-","9","6","bye","7","11","6","4","-","3","-","56","6.2"
"Jamison Crowder","WR","WAS","10","8","7","3","3","4","9","13","bye","6","3","10","8","5","5","2","3","99","6.2"
"Dontrelle Inman","WR","LAC","3","3","4","11","3","1","6","7","9","9","-","6","5","7","8","10","5","97","6.1"
"Cole Beasley","WR","DAL","12","6","7","4","4","6","bye","7","6","9","6","6","4","7","5","5","4","98","6.1"
"Ted Ginn Jr.","WR","CAR","1","4","7","5","1","8","bye","6","7","8","4","10","6","4","8","9","7","95","5.9"
"Jimmy Graham","TE","SEA","1","4","9","8","bye","9","10","5","8","4","5","7","9","4","2","3","7","95","5.9"
"Jason Witten","TE","DAL","14","4","2","9","5","8","bye","3","10","8","7","3","0","7","10","4","1","95","5.9"
"Tyler Eifert","TE","CIN","-","-","-","-","-","-","2","12","bye","5","6","11","2","6","3","-","-","47","5.9"
"Robert Woods","WR","BUF","5","2","8","10","6","6","-","7","13","bye","3","-","-","3","2","6","5","76","5.8"
"Adam Thielen","WR","MIN","5","5","4","3","8","bye","5","5","6","4","5","11","9","5","1","15","1","92","5.8"
"DeVante Parker","WR","MIA","-","13","6","3","3","7","4","bye","4","8","10","6","4","3","3","7","6","87","5.8"
"Jermaine Kearse","WR","SEA","7","6","2","3","bye","5","4","7","4","7","6","5","9","6","2","9","7","89","5.6"
"Adam Humphries","WR","TB","5","8","12","4","2","bye","3","4","7","8","7","1","2","-","5","2","13","83","5.5"
"Mohamed Sanu Sr.","WR","ATL","8","5","4","3","6","10","4","10","7","2","bye","8","3","-","3","4","4","81","5.4"
"Cameron Brate","TE","TB","3","4","10","8","3","bye","3","5","6","7","3","5","9","5","8","2","-","81","5.4"
"Travis Benjamin","WR","LAC","8","6","7","7","11","5","5","9","1","-","-","2","4","3","3","4","-","75","5.4"
"James White","RB","NE","7","4","2","5","6","9","5","5","bye","4","6","9","5","3","8","4","4","86","5.4"
"Lance Kendricks","TE","LAR","3","6","4","7","3","8","9","bye","12","2","7","7","5","3","4","4","3","87","5.4"
"Tyreek Hill","WR","KC","1","2","4","7","bye","2","1","6","5","13","5","10","6","6","3","5","7","83","5.2"
"Tajae Sharpe","WR","TEN","11","7","7","7","4","3","6","1","8","4","7","3","bye","1","4","8","2","83","5.2"
"Jared Cook","TE","GB","2","6","3","bye","-","-","-","-","-","-","11","2","4","2","8","5","8","51","5.1"
"Giovani Bernard","RB","CIN","4","11","5","4","6","5","2","1","bye","5","8","-","-","-","-","-","-","51","5.1"
"Tyler Boyd","WR","CIN","3","8","4","3","5","5","3","7","bye","4","8","9","6","6","3","4","3","81","5.1"
"Kenny Stills","WR","MIA","5","4","8","3","1","3","8","bye","1","3","9","6","5","7","3","8","7","81","5.1"
"Robbie Anderson","WR","NYJ","0","0","2","6","2","6","3","6","6","6","bye","2","12","11","6","3","7","78","4.9"
"John Brown","WR","ARI","4","3","11","16","5","7","-","4","bye","4","4","2","1","0","6","2","4","73","4.9"
"J.J. Nelson","WR","ARI","2","-","0","1","1","2","7","12","bye","6","5","4","2","2","11","7","12","74","4.9"
"Seth Roberts","WR","OAK","4","6","6","3","3","6","9","7","3","-","3","4","5","9","3","3","3","77","4.8"
"Rob Gronkowski","TE","NE","-","-","1","2","7","9","4","7","bye","6","-","2","-","-","-","-","-","38","4.8"
"Darren Sproles","RB","PHI","5","2","6","bye","4","1","3","7","9","10","1","7","6","3","-","2","5","71","4.7"
"Jack Doyle","TE","IND","4","5","6","1","3","4","10","3","9","bye","2","2","4","6","4","7","5","75","4.7"
"Nelson Agholor","WR","PHI","5","7","3","bye","7","4","6","4","7","5","3","-","5","4","4","5","0","69","4.6"
"Duke Johnson Jr.","RB","CLE","5","5","7","8","3","6","5","8","2","5","4","5","bye","2","7","2","0","74","4.6"
"Ryan Griffin","TE","HOU","2","2","10","5","6","5","5","3","bye","4","5","5","6","2","8","2","4","74","4.6"
"T.J. Yeldon","RB","JAC","6","9","3","5","bye","2","2","4","6","3","3","2","7","9","7","0","-","68","4.5"
"Marquise Goodwin","WR","BUF","0","5","5","5","6","4","7","-","5","bye","3","4","8","2","4","5","5","68","4.5"
"Melvin Gordon III","RB","LAC","0","3","7","7","1","2","7","7","4","8","-","4","6","1","-","-","-","57","4.4"
"Cordarrelle Patterson","RB","MIN","1","0","1","6","6","bye","7","3","8","4","8","5","3","4","8","4","2","70","4.4"
"Tyler Lockett","WR","SEA","8","4","0","3","bye","5","2","4","2","6","3","6","6","6","8","3","-","66","4.4"
"Chris Conley","WR","KC","7","4","5","7","bye","4","2","5","4","3","8","4","2","3","4","2","5","69","4.3"
"Breshad Perriman","WR","BAL","2","5","4","5","5","8","5","bye","4","4","0","3","3","4","1","5","8","66","4.1"
"Devonta Freeman","RB","ATL","4","0","5","3","5","5","6","6","2","3","bye","3","5","3","2","8","5","65","4.1"
"Vance McDonald","TE","SF","3","2","2","-","-","2","6","bye","6","6","6","8","4","0","-","-","-","45","4.1"
"Devin Funchess","WR","CAR","4","4","2","3","0","6","bye","4","5","4","7","2","4","5","3","5","-","58","3.9"
"Phillip Dorsett II","WR","IND","6","5","4","3","3","5","-","5","4","bye","3","6","1","8","1","1","4","59","3.9"
"Chris Hogan","WR","NE","4","6","3","2","5","1","2","4","bye","3","-","5","5","7","2","5","4","58","3.9"
"Chris Thompson","RB","WAS","2","4","2","4","4","3","7","5","bye","3","3","6","2","1","7","1","8","62","3.9"
"LeSean McCoy","RB","BUF","4","5","4","6","2","2","0","-","5","bye","3","2","7","7","3","6","1","57","3.8"
"C.J. Uzomah","TE","CIN","5","8","4","5","5","2","0","-","bye","0","-","-","-","-","-","6","3","38","3.8"
"Jesse James","TE","PIT","7","5","4","2","8","3","2","bye","4","4","4","1","4","3","1","5","3","60","3.8"
"Trey Burton","TE","PHI","0","7","6","bye","2","1","1","2","3","0","2","4","9","10","6","1","6","60","3.8"
"Taylor Gabriel","WR","ATL","-","2","3","3","0","2","-","3","5","5","bye","5","6","6","6","4","-","50","3.8"
"Ty Montgomery","RB","GB","0","0","0","bye","0","12","13","-","3","2","4","2","3","4","3","5","5","56","3.7"
"Vernon Davis","TE","WAS","1","5","0","1","4","4","6","5","bye","3","1","7","6","2","9","2","3","59","3.7"
"Mark Ingram II","RB","NO","2","4","6","7","bye","3","4","0","2","2","4","2","5","2","4","3","8","58","3.6"
"Todd Gurley II","RB","LAR","3","1","2","5","5","4","7","bye","5","1","2","4","3","4","4","3","5","58","3.6"
"Hunter Henry","TE","LAC","2","0","5","7","4","8","3","4","-","2","-","3","1","5","4","0","5","53","3.5"
"Jerick McKinnon","RB","MIN","2","1","2","5","3","bye","1","-","0","4","1","3","6","6","9","6","4","53","3.5"
"Cody Core","WR","CIN","-","-","-","-","0","-","-","-","bye","0","-","1","2","2","3","14","5","27","3.4"
"Dion Lewis","RB","NE","-","-","-","-","-","-","-","-","bye","-","5","7","5","1","3","1","2","24","3.4"
"Jordan Howard","RB","CHI","-","2","6","4","3","4","1","4","bye","0","8","5","1","5","4","3","0","50","3.3"
"Albert Wilson","WR","KC","5","3","0","8","bye","1","1","0","8","7","4","6","4","1","1","1","1","51","3.2"
"C.J. Prosise","RB","SEA","1","-","-","-","bye","-","3","4","1","7","3","-","-","-","-","-","-","19","3.2"
"Virgil Green","TE","DEN","5","3","-","-","-","4","0","6","4","6","bye","0","1","2","2","-","4","37","3.1"
"Latavius Murray","RB","OAK","2","6","1","2","-","-","5","7","1","-","5","4","5","1","1","2","1","43","3.1"
"Kyle Juszczyk","RB","BAL","3","2","1","7","5","6","1","bye","0","3","3","5","1","3","4","3","2","49","3.1"
"Tevin Coleman","RB","ATL","6","2","3","4","6","2","1","-","-","-","bye","2","2","3","2","3","4","40","3.1"
"Garrett Celek","TE","SF","4","2","4","5","5","0","3","bye","6","0","3","3","0","1","6","7","1","50","3.1"
