"Team","WR Targets","WR %","RB Targets","RB %","TE Targets","TE %","Total Targets"
"Arizona Cardinals","369","69.8","104","19.7","56","10.6","529"
"Atlanta Falcons","421","64.4","112","17.1","121","18.5","654"
"Baltimore Ravens","182","42.9","62","14.6","180","42.5","424"
"Buffalo Bills","322","66.5","80","16.5","82","16.9","484"
"Carolina Panthers","334","55.6","154","25.6","113","18.8","601"
"Chicago Bears","333","58.8","164","29.0","69","12.2","566"
"Cincinnati Bengals","388","66.0","88","15.0","112","19.0","588"
"Cleveland Browns","332","64.3","115","22.3","69","13.4","516"
"Dallas Cowboys","357","62.0","93","16.1","126","21.9","576"
"Denver Broncos","262","54.5","112","23.3","107","22.2","481"
"Detroit Lions","330","60.2","101","18.4","117","21.4","548"
"Green Bay Packers","314","57.9","133","24.5","95","17.5","542"
"Houston Texans","332","64.2","79","15.3","106","20.5","517"
"Indianapolis Colts","255","52.4","91","18.7","141","29.0","487"
"Jacksonville Jaguars","356","63.2","129","22.9","78","13.9","563"
"Kansas City Chiefs","293","52.4","111","19.9","155","27.7","559"
"Las Vegas Raiders","211","43.1","117","23.9","161","32.9","489"
"Los Angeles Chargers","295","51.3","182","31.7","98","17.0","575"
"Los Angeles Rams","393","64.4","61","10.0","156","25.6","610"
"Miami Dolphins","366","60.8","120","19.9","116","19.3","602"
"Minnesota Vikings","209","47.5","126","28.6","105","23.9","440"
"New England Patriots","367","62.6","166","28.3","53","9.0","586"
"New Orleans Saints","279","49.8","154","27.5","127","22.7","560"
"New York Giants","350","59.4","99","16.8","140","23.8","589"
"New York Jets","328","66.7","107","21.7","57","11.6","492"
"Philadelphia Eagles","255","42.2","114","18.9","235","38.9","604"
"Pittsburgh Steelers","299","61.6","110","22.7","76","15.7","485"
"San Francisco 49ers","233","49.9","103","22.1","131","28.1","467"
"Seattle Seahawks","306","62.3","83","16.9","102","20.8","491"
"Tampa Bay Buccaneers","376","62.0","113","18.6","117","19.3","606"
"Tennessee Titans","255","60.1","62","14.6","107","25.2","424"
"Washington Commanders","287","61.9","104","22.4","73","15.7","464"
""
""
