"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Tom Brady","QB","TB","62","67","65","64","79","72","67","68","84","75","bye","69","80","76","","","","","928","71.4"
"Justin Herbert","QB","LAC","67","74","61","70","71","93","71","bye","69","55","65","66","75","80","","","","","917","70.5"
"Patrick Mahomes II","QB","KC","65","57","63","80","72","67","58","bye","100","63","65","76","55","68","","","","","889","68.4"
"Jalen Hurts","QB","PHI","77","73","70","82","73","71","bye","46","65","50","68","80","64","63","","","","","882","67.8"
"Joe Burrow","QB","CIN","100","70","68","64","63","57","68","53","58","bye","66","70","72","67","","","","","876","67.4"
"Jared Goff","QB","DET","69","61","78","74","66","bye","59","60","62","62","67","71","74","70","","","","","873","67.2"
"Trevor Lawrence","QB","JAC","70","71","75","47","75","63","71","72","69","64","bye","63","52","72","","","","","864","66.5"
"Kirk Cousins","QB","MIN","62","61","72","72","79","52","bye","71","65","83","45","69","68","65","","","","","864","66.5"
"Josh Allen","QB","BUF","59","52","92","64","48","73","bye","59","62","75","65","77","75","59","","","","","860","66.2"
"Daniel Jones","QB","NYG","60","73","72","53","61","65","77","65","bye","69","76","64","66","52","","","","","853","65.6"
"Justin Jefferson","WR","MIN","57","60","72","68","79","49","bye","70","66","83","45","67","65","61","","","","","842","64.8"
"Terry McLaurin","WR","WAS","69","66","68","70","62","56","70","58","64","71","49","51","77","bye","","","","","831","63.9"
"Donovan Peoples-Jones","WR","CLE","66","52","63","61","59","61","56","69","bye","59","74","76","60","72","","","","","828","63.7"
"Derek Carr","QB","LV","58","67","70","75","64","bye","55","44","59","70","66","76","61","60","","","","","825","63.5"
"DeVonta Smith","WR","PHI","74","72","62","71","72","63","bye","42","58","43","64","74","63","62","","","","","820","63.1"
"Aaron Rodgers","QB","GB","56","68","62","73","63","69","54","66","74","64","61","39","66","bye","","","","","815","62.7"
"Geno Smith","QB","SEA","55","49","71","70","52","68","71","64","73","52","bye","65","67","54","","","","","811","62.4"
"Adam Thielen","WR","MIN","59","59","70","70","76","45","bye","62","62","78","44","64","59","61","","","","","809","62.2"
"Diontae Johnson","WR","PIT","51","51","58","57","70","61","70","72","bye","77","70","66","53","52","","","","","808","62.2"
"Michael Pittman Jr.","WR","IND","90","0","67","59","78","80","64","55","56","63","64","64","67","bye","","","","","807","67.3"
"Davante Adams","WR","LV","55","65","70","71","64","bye","54","42","56","65","65","77","59","58","","","","","801","61.6"
"Mack Hollins","WR","LV","51","58","68","72","61","bye","56","53","50","67","66","74","60","58","","","","","794","61.1"
