"Team","WR Targets","WR %","RB Targets","RB %","TE Targets","TE %","Total Targets"
"Arizona Cardinals","314","63.7","87","17.6","92","18.7","493"
"Atlanta Falcons","166","57.6","39","13.5","83","28.8","288"
"Baltimore Ravens","158","44.0","54","15.0","147","40.9","359"
"Buffalo Bills","304","66.5","92","20.1","61","13.3","457"
"Carolina Panthers","208","60.3","76","22.0","61","17.7","345"
"Chicago Bears","163","60.8","44","16.4","61","22.8","268"
"Cincinnati Bengals","284","60.8","107","22.9","76","16.3","467"
"Cleveland Browns","236","57.4","68","16.5","107","26.0","411"
"Dallas Cowboys","241","59.8","64","15.9","98","24.3","403"
"Denver Broncos","232","55.0","100","23.7","90","21.3","422"
"Detroit Lions","268","63.8","83","19.8","69","16.4","420"
"Green Bay Packers","249","59.3","91","21.7","80","19.0","420"
"Houston Texans","227","54.4","94","22.5","96","23.0","417"
"Indianapolis Colts","270","58.8","102","22.2","87","19.0","459"
"Jacksonville Jaguars","290","64.9","61","13.6","96","21.5","447"
"Kansas City Chiefs","237","49.3","87","18.1","157","32.6","481"
"Las Vegas Raiders","265","61.5","93","21.6","73","16.9","431"
"Los Angeles Chargers","289","53.3","152","28.0","101","18.6","542"
"Los Angeles Rams","286","67.1","50","11.7","90","21.1","426"
"Miami Dolphins","309","70.1","81","18.4","51","11.6","441"
"Minnesota Vikings","303","64.1","67","14.2","103","21.8","473"
"New England Patriots","216","56.5","93","24.3","73","19.1","382"
"New Orleans Saints","239","58.0","92","22.3","81","19.7","412"
"New York Giants","232","65.0","74","20.7","51","14.3","357"
"New York Jets","255","57.2","102","22.9","89","20.0","446"
"Philadelphia Eagles","249","67.1","48","12.9","74","19.9","371"
"Pittsburgh Steelers","252","57.8","72","16.5","112","25.7","436"
"San Francisco 49ers","246","61.0","87","21.6","70","17.4","403"
"Seattle Seahawks","257","61.5","59","14.1","102","24.4","418"
"Tampa Bay Buccaneers","349","62.5","113","20.3","96","17.2","558"
"Tennessee Titans","173","53.2","65","20.0","87","26.8","325"
"Washington Commanders","247","58.3","100","23.6","77","18.2","424"
""
""
