"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Davante Adams","WR","LV","17","7","10","13","7","bye","9","5","17","14","13","11","12","7","","","","","142","10.9"
"Justin Jefferson","WR","MIN","11","12","6","13","13","8","bye","8","13","16","5","11","11","15","","","","","142","10.9"
"Tyreek Hill","WR","MIA","12","13","4","14","7","15","13","14","8","6","bye","9","14","10","","","","","139","10.7"
"Stefon Diggs","WR","BUF","9","15","11","6","11","13","bye","8","10","16","5","15","9","5","","","","","133","10.2"
"Travis Kelce","TE","KC","9","7","8","10","8","10","8","bye","17","7","10","8","6","9","","","","","117","9.0"
"CeeDee Lamb","WR","DAL","11","11","12","8","8","10","6","7","bye","15","5","11","7","6","","","","","117","9.0"
"Diontae Johnson","WR","PIT","12","10","11","4","13","7","10","9","bye","5","5","8","11","8","","","","","113","8.7"
"Austin Ekeler","RB","LAC","4","10","8","7","4","16","12","bye","8","12","2","15","6","8","","","","","112","8.6"
"DK Metcalf","WR","SEA","7","6","12","10","8","7","2","10","6","9","bye","15","8","10","","","","","110","8.5"
"Amari Cooper","WR","CLE","6","10","11","4","12","12","4","7","bye","3","12","12","9","7","","","","","109","8.4"
"Amon-Ra St. Brown","WR","DET","12","12","9","-","6","bye","1","10","9","11","8","10","12","9","","","","","109","9.1"
"Chris Godwin","WR","TB","3","-","-","10","6","12","13","11","10","8","bye","13","13","9","","","","","108","9.8"
"Michael Pittman Jr.","WR","IND","13","-","9","6","8","16","9","9","6","9","7","11","4","bye","","","","","107","8.9"
"Christian Kirk","WR","JAC","12","6","9","9","3","5","10","7","9","12","bye","9","8","7","","","","","106","8.2"
"A.J. Brown","WR","PHI","13","8","10","7","7","8","bye","10","6","4","7","6","10","6","","","","","102","7.8"
"Garrett Wilson","WR","NYJ","8","14","11","6","4","5","4","7","9","bye","3","8","15","7","","","","","101","7.8"
"Tyler Lockett","WR","SEA","4","11","11","8","6","5","8","8","5","5","bye","7","12","9","","","","","99","7.6"
"Cooper Kupp","WR","LAR","15","14","6","19","10","8","bye","12","9","5","-","-","-","-","","","","","98","10.9"
"Chris Olave","WR","NO","3","13","13","7","6","-","14","7","9","5","6","9","6","bye","","","","","98","8.2"
"Terry McLaurin","WR","WAS","4","8","9","6","6","4","8","8","9","11","7","6","12","bye","","","","","98","7.5"
"Zay Jones","WR","JAC","9","4","11","-","8","5","10","3","5","10","bye","14","7","12","","","","","98","8.2"
"Mike Evans","WR","TB","7","4","-","10","8","4","15","11","11","6","bye","9","4","9","","","","","98","8.2"
"Ja'Marr Chase","WR","CIN","16","9","10","6","12","10","11","-","-","bye","-","-","8","15","","","","","97","10.8"
"DeVonta Smith","WR","PHI","4","7","12","4","11","5","bye","8","2","8","9","9","8","8","","","","","95","7.3"
"Jaylen Waddle","WR","MIA","5","19","6","5","4","10","5","9","7","5","bye","10","5","4","","","","","94","7.2"
"Mark Andrews","TE","BAL","7","11","13","5","10","11","2","5","-","bye","8","7","7","6","","","","","92","7.7"
"Joshua Palmer","WR","LAC","4","8","9","1","6","12","-","bye","10","8","10","7","11","6","","","","","92","7.7"
"Deebo Samuel","WR","SF","7","6","8","7","9","10","7","-","bye","6","9","7","10","5","","","","","91","7.6"
"DJ Moore","WR","CAR","6","6","6","11","8","7","10","11","6","6","5","6","bye","3","","","","","91","7.0"
"T.J. Hockenson","TE","MIN","7","7","4","12","4","-","5","4","9","10","9","6","6","8","","","","","91","7.0"
"Adam Thielen","WR","MIN","4","7","8","9","7","8","bye","7","7","7","3","10","6","8","","","","","91","7.0"
"Courtland Sutton","WR","DEN","7","11","10","7","11","3","9","4","bye","11","7","8","1","-","","","","","89","7.4"
"Brandon Aiyuk","WR","SF","3","8","8","4","4","11","11","6","bye","7","4","8","9","3","","","","","86","6.6"
"Christian McCaffrey","RB","SF","5","5","4","9","12","8","2","9","bye","6","7","6","10","3","","","","","86","6.6"
"Tee Higgins","WR","CIN","2","10","7","9","-","9","7","6","8","bye","13","9","5","-","","","","","85","7.7"
"Pat Freiermuth","TE","PIT","10","7","4","9","2","-","9","7","bye","7","12","4","5","6","","","","","82","6.8"
"JuJu Smith-Schuster","WR","KC","8","3","8","8","8","5","8","bye","12","4","-","3","4","11","","","","","82","6.8"
