"Rank","Player","Team","Position","Points","Games","Avg"
"1","Jalen Hurts","PHI","QB","337.9","13","26.0"
"2","Patrick Mahomes II","KC","QB","331.4","13","25.5"
"3","Josh Allen","BUF","QB","326.0","13","25.1"
"4","Joe Burrow","CIN","QB","299.8","13","23.1"
"5","Justin Jefferson","MIN","WR","296.7","13","22.8"
"6","Austin Ekeler","LAC","RB","292.7","13","22.5"
"7","Tyreek Hill","MIA","WR","285.0","13","21.9"
"8","Josh Jacobs","LV","RB","282.8","13","21.8"
"9","Davante Adams","LV","WR","278.6","13","21.4"
"10","Stefon Diggs","BUF","WR","277.9","13","21.4"
"11","Christian McCaffrey","Multi","RB","268.6","13","20.7"
"12","Travis Kelce","KC","TE","257.4","13","19.8"
"13","Justin Fields","CHI","QB","256.3","12","21.4"
"14","Geno Smith","SEA","QB","253.7","13","19.5"
"15","Derrick Henry","TEN","RB","244.1","13","18.8"
"16","Lamar Jackson","BAL","QB","243.1","12","20.3"
"17","Trevor Lawrence","JAC","QB","241.9","13","18.6"
"18","Justin Herbert","LAC","QB","238.6","13","18.4"
"19","Saquon Barkley","NYG","RB","226.4","13","17.4"
"20","Daniel Jones","NYG","QB","226.0","13","17.4"
"21","Nick Chubb","CLE","RB","224.5","13","17.3"
"22","Kirk Cousins","MIN","QB","223.1","13","17.2"
"23","A.J. Brown","PHI","WR","223.0","13","17.2"
"24","Jared Goff","DET","QB","219.6","13","16.9"
"25","Tony Pollard","DAL","RB","218.3","13","16.8"
"26","Amon-Ra St. Brown","DET","WR","216.7","12","18.1"
"27","CeeDee Lamb","DAL","WR","210.7","13","16.2"
"28","Kyler Murray","ARI","QB","207.6","11","18.9"
"29","Tua Tagovailoa","MIA","QB","207.5","11","18.9"
"30","Marcus Mariota","ATL","QB","205.7","13","15.8"
"31","Tyler Lockett","SEA","WR","204.6","13","15.7"
"32","Tom Brady","TB","QB","203.5","13","15.7"
"33","Derek Carr","LV","QB","203.4","13","15.7"
"34","Aaron Jones","GB","RB","201.5","13","15.5"
"35","Cooper Kupp","LAR","WR","201.4","9","22.4"
"36","Rhamondre Stevenson","NE","RB","200.7","13","15.4"
"37","Miles Sanders","PHI","RB","199.3","13","15.3"
"38","Aaron Rodgers","GB","QB","196.3","13","15.1"
"39","Christian Kirk","JAC","WR","195.1","13","15.0"
"40","Jaylen Waddle","MIA","WR","195.0","13","15.0"
"41","Joe Mixon","CIN","RB","193.5","11","17.6"
"42","Amari Cooper","CLE","WR","191.4","13","14.7"
"43","Dalvin Cook","MIN","RB","191.0","13","14.7"
"44","DK Metcalf","SEA","WR","190.9","13","14.7"
"45","Ja'Marr Chase","CIN","WR","186.9","9","20.8"
"46","Leonard Fournette","TB","RB","180.4","12","15.0"
"47","Jamaal Williams","DET","RB","177.3","13","13.6"
"48","Russell Wilson","DEN","QB","177.0","12","14.8"
"49","Terry McLaurin","WAS","WR","176.2","13","13.6"
"50","Tee Higgins","CIN","WR","176.1","11","16.0"
"51","Garrett Wilson","NYJ","WR","174.2","13","13.4"
"52","Jacoby Brissett","CLE","QB","174.2","12","14.5"
"52","Brandon Aiyuk","SF","WR","174.2","13","13.4"
"54","DeVonta Smith","PHI","WR","171.5","13","13.2"
"55","Jimmy Garoppolo","SF","QB","168.7","11","15.3"
"56","Chris Olave","NO","WR","166.7","12","13.9"
"57","Dameon Pierce","HOU","RB","166.4","13","12.8"
"58","Deebo Samuel","SF","WR","164.0","12","13.7"
"59","Michael Pittman Jr.","IND","WR","161.5","12","13.5"
"60","Alvin Kamara","NO","RB","159.3","11","14.5"
"61","Najee Harris","PIT","RB","159.1","13","12.2"
"62","Mark Andrews","BAL","TE","157.9","12","13.2"
"63","Mike Evans","TB","WR","157.5","12","13.1"
"64","Matt Ryan","IND","QB","157.0","11","14.3"
"65","Antonio Gibson","WAS","RB","156.1","13","12.0"
"66","Chris Godwin","TB","WR","155.7","11","14.2"
"67","T.J. Hockenson","Multi","TE","155.7","13","12.0"
"68","Ryan Tannehill","TEN","QB","155.5","11","14.1"
"69","Adam Thielen","MIN","WR","153.5","13","11.8"
"70","JuJu Smith-Schuster","KC","WR","153.2","12","12.8"
"71","Curtis Samuel","WAS","WR","150.4","13","11.6"
"72","Travis Etienne Jr.","JAC","RB","149.8","13","11.5"
"73","Zay Jones","JAC","WR","149.6","12","12.5"
"74","Kenneth Walker III","SEA","RB","149.5","11","13.6"
"75","Andy Dalton","NO","QB","148.6","10","14.9"
"76","Ezekiel Elliott","DAL","RB","146.9","11","13.4"
"77","Joshua Palmer","LAC","WR","145.9","12","12.2"
"78","Devin Singletary","BUF","RB","145.2","13","11.2"
"79","New England Patriots","NE","DST","145.0","13","11.2"
"80","Jonathan Taylor","IND","RB","144.1","10","14.4"
"81","Gabe Davis","BUF","WR","143.6","12","12.0"
"82","James Conner","ARI","RB","143.1","10","14.3"
"83","Dallas Cowboys","DAL","DST","141.0","13","10.9"
"84","Donovan Peoples-Jones","CLE","WR","138.3","13","10.6"
"85","Tyler Boyd","CIN","WR","137.4","13","10.6"
"86","DeAndre Hopkins","ARI","WR","137.3","7","19.6"
"87","Allen Lazard","GB","WR","137.0","11","12.5"
