Rank,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPositionPPR
1,Saquon Barkley,NYG,11,25,RB,RB1,16,16,16,15.5,39.6,1.4
2,Alvin Kamara,NO,9,27,RB,RB2,10.6,10.6,10.6,8.6,18.7,2.5
3,Christian McCaffrey,CAR,7,26,RB,RB3,2.4,2.4,2.4,2,9.1,3.2
4,Ezekiel Elliott,DAL,8,27,RB,RB4,27.3,27.3,27.3,23.9,27.7,3.9
5,Davante Adams,GB,11,29,WR,WR1,12.4,12.4,12.4,10.2,12.4,6.4
6,DeAndre Hopkins,HOU,10,30,WR,WR2,90.2,90.2,90.2,26.5,90.7,7
7,James Conner,PIT,7,27,RB,RB5,27.9,27.9,27.9,27.9,52.5,7.1
7,David Johnson,ARI,12,31,RB,RB6,null,null,null,null,null,7.1
9,Le'Veon Bell,NYJ,4,30,RB,RB7,null,null,null,null,null,8.8
10,Julio Jones,ATL,9,33,WR,WR3,121,121,121,50.3,152.5,10.2
11,Michael Thomas,NO,9,29,WR,WR4,52.2,52.2,52.2,37.8,54,10.4
12,Nick Chubb,CLE,7,26,RB,RB8,18.5,18.5,18.5,7.8,18.8,11.7
13,JuJu Smith-Schuster,PIT,7,26,WR,WR5,75.4,75.4,75.4,74.6,117.4,12.9
14,Tyreek Hill,KC,12,28,WR,WR6,22.7,22.7,22.7,17.8,23.2,13.9
15,Dalvin Cook,MIN,12,27,RB,RB9,7.2,7.2,7.2,2.3,7.9,14.6
16,Odell Beckham Jr.,CLE,7,30,WR,WR7,null,null,null,null,null,15.1
17,Todd Gurley II,LAR,9,28,RB,RB10,null,null,null,null,null,16
18,Travis Kelce,KC,12,33,TE,TE1,16.6,16.6,16.6,12.5,16.6,17.1
19,Joe Mixon,CIN,9,26,RB,RB11,10,10,10,2.2,26.8,18.4
20,Patrick Mahomes,KC,12,27,QB,QB1,39.1,39.1,39.1,28.5,39.1,19.3
21,Mike Evans,TB,7,29,WR,WR8,26.1,26.1,26.1,22.5,28.8,20.2
22,Antonio Brown,LV,6,34,WR,WR9,null,null,null,null,null,21.4
23,Adam Thielen,MIN,12,32,WR,WR10,63.9,63.9,63.9,55.7,63.9,22.9
24,Leonard Fournette,JAX,10,27,RB,RB12,21.8,21.8,21.8,21.8,49.4,23.2
25,Keenan Allen,LAC,12,30,WR,WR11,29.3,29.3,29.3,26.8,30.9,25
26,Damien Williams,KC,12,30,RB,RB13,202,202,202,158.8,234,25.5
27,Chris Carson,SEA,11,28,RB,RB14,663,663,663,90.9,1015,26.5
28,George Kittle,SF,4,29,TE,TE2,43.2,43.2,43.2,31.9,44.2,28.3
29,Kerryon Johnson,DET,5,25,RB,RB15,null,null,null,null,null,28.5
30,Aaron Jones,GB,11,28,RB,RB16,15.3,15.3,15.3,14.9,27.4,29.2
31,Devonta Freeman,ATL,9,30,RB,RB17,null,null,null,null,null,30.4
32,Stefon Diggs,MIN,12,29,WR,WR12,14,14,14,13.1,18.6,30.8
33,David Montgomery,CHI,6,25,RB,RB18,39.3,39.3,39.3,18.1,39.3,31.3
34,Josh Jacobs,LV,6,24,RB,RB19,47.3,47.3,47.3,41.8,48.8,33.1
34,Amari Cooper,DAL,8,28,WR,WR13,83.8,83.8,83.8,44.8,84.2,33.1
36,Zach Ertz,PHI,10,32,TE,TE3,89.5,89.5,89.5,89,138,33.5
37,Julian Edelman,NE,10,36,WR,WR14,null,null,null,null,null,36.1
38,Sony Michel,NE,10,27,RB,RB20,230,230,230,83.9,242,37.4
39,Brandin Cooks,LAR,9,29,WR,WR15,57.9,57.9,57.9,55.3,58.3,39.1
40,Mark Ingram II,BAL,8,32,RB,RB21,188,188,188,119.4,191,39.7
41,Chris Godwin,TB,7,26,WR,WR16,56.7,56.7,56.7,41.7,56.7,39.9
42,Melvin Gordon III,LAC,12,29,RB,RB22,84.4,84.4,84.4,78.6,89.1,42
43,Robert Woods,LAR,9,30,WR,WR17,102.7,102.7,102.7,62.3,102.7,42.2
44,Tyler Lockett,SEA,11,30,WR,WR18,110.6,110.6,110.6,40.9,167,42.9
45,Derrick Henry,TEN,11,28,RB,RB23,4.2,4.2,4.2,1.7,4.3,43.8
46,Cooper Kupp,LAR,9,29,WR,WR19,5.8,5.8,5.8,3.1,5.8,45.2
47,Marlon Mack,IND,6,26,RB,RB24,771,771,771,115.8,771,46.5
48,Deshaun Watson,HOU,10,27,QB,QB2,297,297,297,98.2,300,47.1
48,Kenny Golladay,DET,5,29,WR,WR20,163,163,163,135.3,175.1,47.1
50,James White,NE,10,30,RB,RB25,666,666,666,136.4,725,48.1
51,T.Y. Hilton,IND,6,33,WR,WR21,null,null,null,null,null,49
52,Tyler Boyd,CIN,9,28,WR,WR22,121.3,121.3,121.3,117.2,135.6,51.5
53,Duke Johnson,HOU,10,29,RB,RB26,296,296,296,235,299,51.7
54,Josh Gordon,NE,10,31,WR,WR23,415,415,415,315,433,52.1
55,Calvin Ridley,ATL,9,27,WR,WR24,699,699,699,52.5,1043,53.5
56,O.J. Howard,TB,7,28,TE,TE4,418,418,418,361,440,54.1
57,Phillip Lindsay,DEN,10,28,RB,RB27,240,240,240,103.4,1111,55.6
58,Aaron Rodgers,GB,11,39,QB,QB3,77.9,77.9,77.9,62.1,80.2,55.7
59,Evan Engram,NYG,11,28,TE,TE5,312,312,312,113.5,331,57.3
60,Tevin Coleman,SF,4,29,RB,RB28,665,665,665,269,726,57.7
61,Miles Sanders,PHI,10,25,RB,RB29,61.5,61.5,61.5,56,69.5,59
62,Mike Williams,LAC,12,28,WR,WR25,39.7,39.7,39.7,39.6,76,60.3
63,Austin Ekeler,LAC,12,27,RB,RB30,2.7,2.7,2.7,2.7,4.7,61.7
64,Dede Westbrook,JAX,10,29,WR,WR26,null,null,null,null,null,62.7
65,Baker Mayfield,CLE,7,27,QB,QB4,232,232,232,159.9,324,63.2
66,Hunter Henry,LAC,12,28,TE,TE6,136.1,136.1,136.1,111.7,136.1,63.3
67,A.J. Green,CIN,9,34,WR,WR27,192,192,192,144.1,219,63.8
68,Jarvis Landry,CLE,7,30,WR,WR28,165,165,165,111,176.2,64.8
69,DJ Moore,CAR,7,25,WR,WR29,36.1,36.1,36.1,35.9,53.9,67.2
70,Matt Ryan,ATL,9,37,QB,QB5,132,132,132,132,150.8,69.2
71,Derrius Guice,WAS,10,25,RB,RB31,null,null,null,null,null,69.8
72,Lamar Miller,HOU,10,31,RB,RB32,null,null,null,null,null,70.4
73,Jared Cook,NO,9,35,TE,TE7,null,null,null,null,null,70.6
74,Tarik Cohen,CHI,6,27,RB,RB33,null,null,null,null,null,71
