Rank,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPositionPPR
1,Christian McCaffrey,CAR,13,26,RB,RB1,2.4,2.4,2.4,2,9.1,1.2
2,Saquon Barkley,NYG,11,25,RB,RB2,16,16,16,15.5,39.6,2.5
3,Ezekiel Elliott,DAL,10,27,RB,RB3,27.3,27.3,27.3,23.9,27.7,3.4
4,Alvin Kamara,NO,6,27,RB,RB4,10.6,10.6,10.6,8.6,18.7,4.9
5,Michael Thomas,NO,6,29,WR,WR1,52.2,52.2,52.2,37.8,54,5.6
6,Dalvin Cook,MIN,7,27,RB,RB5,7.2,7.2,7.2,2.3,7.9,6.2
6,Clyde Edwards-Helaire,KC,10,23,RB,RB6,54.1,54.1,54.1,37.9,54.3,6.2
8,Derrick Henry,TEN,4,28,RB,RB7,4.2,4.2,4.2,1.7,4.3,7.4
9,Josh Jacobs,LV,6,24,RB,RB8,47.3,47.3,47.3,41.8,48.8,9.1
10,Davante Adams,GB,5,29,WR,WR2,12.4,12.4,12.4,10.2,12.4,10.4
11,Austin Ekeler,LAC,6,27,RB,RB9,2.7,2.7,2.7,2.7,4.7,11.5
12,Miles Sanders,PHI,9,25,RB,RB10,61.5,61.5,61.5,56,69.5,12
13,Joe Mixon,CIN,9,26,RB,RB11,10,10,10,2.2,26.8,13.1
14,Julio Jones,ATL,10,33,WR,WR3,121,121,121,50.3,152.5,14.4
15,Kenyan Drake,ARI,8,28,RB,RB12,226,226,226,156.2,860,14.8
16,Tyreek Hill,KC,10,28,WR,WR4,22.7,22.7,22.7,17.8,23.2,15.8
17,Nick Chubb,CLE,9,26,RB,RB13,18.5,18.5,18.5,7.8,18.8,16.3
18,Aaron Jones,GB,5,28,RB,RB14,15.3,15.3,15.3,14.9,27.4,17.5
19,DeAndre Hopkins,ARI,8,30,WR,WR5,90.2,90.2,90.2,26.5,90.7,18.5
20,Patrick Mahomes,KC,10,27,QB,QB1,39.1,39.1,39.1,28.5,39.1,18.7
21,Travis Kelce,KC,10,33,TE,TE1,16.6,16.6,16.6,12.5,16.6,19.9
22,Chris Godwin,TB,13,26,WR,WR6,56.7,56.7,56.7,41.7,56.7,21.5
23,James Conner,PIT,4,27,RB,RB15,27.9,27.9,27.9,27.9,52.5,22.4
24,Lamar Jackson,BAL,7,25,QB,QB2,51.5,51.5,51.5,48.1,54.3,22.7
25,George Kittle,SF,11,29,TE,TE2,43.2,43.2,43.2,31.9,44.2,24.4
26,Kenny Golladay,DET,5,29,WR,WR7,163,163,163,135.3,175.1,25.8
27,Chris Carson,SEA,6,28,RB,RB16,663,663,663,90.9,1015,26.4
28,Mike Evans,TB,13,29,WR,WR8,26.1,26.1,26.1,22.5,28.8,27.9
29,David Johnson,HOU,8,31,RB,RB17,null,null,null,null,null,28.5
30,Todd Gurley II,ATL,10,28,RB,RB18,null,null,null,null,null,29.1
31,Adam Thielen,MIN,7,32,WR,WR9,63.9,63.9,63.9,55.7,63.9,30.3
32,Allen Robinson II,CHI,11,29,WR,WR10,53.9,53.9,53.9,53.5,81.4,31.8
33,Jonathan Taylor,IND,7,23,RB,RB19,1.4,1.4,1.4,1.1,1.4,32.6
33,DJ Moore,CAR,13,25,WR,WR11,36.1,36.1,36.1,35.9,53.9,32.6
35,Le'Veon Bell,NYJ,10,30,RB,RB20,null,null,null,null,null,34.5
36,Leonard Fournette,TB,13,27,RB,RB21,21.8,21.8,21.8,21.8,49.4,35.4
37,Odell Beckham Jr.,CLE,9,30,WR,WR12,null,null,null,null,null,35.7
38,JuJu Smith-Schuster,PIT,4,26,WR,WR13,75.4,75.4,75.4,74.6,117.4,36.9
39,Amari Cooper,DAL,10,28,WR,WR14,83.8,83.8,83.8,44.8,84.2,38.1
40,Melvin Gordon III,DEN,5,29,RB,RB22,84.4,84.4,84.4,78.6,89.1,39.4
41,Cooper Kupp,LAR,9,29,WR,WR15,5.8,5.8,5.8,3.1,5.8,40.3
42,Calvin Ridley,ATL,10,27,WR,WR16,699,699,699,52.5,1043,40.9
43,Robert Woods,LAR,9,30,WR,WR17,102.7,102.7,102.7,62.3,102.7,42.4
43,Mark Andrews,BAL,7,27,TE,TE3,25.9,25.9,25.9,19,26,42.4
45,Mark Ingram II,BAL,7,32,RB,RB23,188,188,188,119.4,191,42.5
46,A.J. Brown,TEN,4,25,WR,WR18,30.5,30.5,30.5,23.5,30.5,44.4
47,DK Metcalf,SEA,6,25,WR,WR19,50.9,50.9,50.9,26.9,125.6,45.3
48,Devin Singletary,BUF,11,25,RB,RB24,71.7,71.7,71.7,67.7,89.4,46.4
49,DJ Chark,JAX,8,26,WR,WR20,164,164,164,91.8,167,47.5
50,Raheem Mostert,SF,11,30,RB,RB25,101.9,101.9,101.9,101.9,112.4,49.4
51,Tyler Lockett,SEA,6,30,WR,WR21,110.6,110.6,110.6,40.9,167,49.9
52,Zach Ertz,PHI,9,32,TE,TE4,89.5,89.5,89.5,89,138,50.6
53,Terry McLaurin,WAS,8,27,WR,WR22,38,38,38,36.5,50.5,50.8
54,Cam Akers,LAR,9,23,RB,RB26,33.2,33.2,33.2,31.9,68,52.8
55,Kareem Hunt,CLE,9,27,RB,RB27,69.2,69.2,69.2,65.1,75.5,53.1
56,Keenan Allen,LAC,6,30,WR,WR23,29.3,29.3,29.3,26.8,30.9,53.5
57,Dak Prescott,DAL,10,29,QB,QB3,84.8,84.8,84.8,78.4,89.3,54.7
58,Ronald Jones,TB,13,25,RB,RB28,248,248,248,99.4,252,56.5
59,T.Y. Hilton,IND,7,33,WR,WR24,null,null,null,null,null,57.5
60,Courtland Sutton,DEN,5,27,WR,WR25,45.1,45.1,45.1,45.1,89,58.1
61,David Montgomery,CHI,11,25,RB,RB29,39.3,39.3,39.3,18.1,39.3,59.7
62,Marquise Brown,BAL,7,25,WR,WR26,68,68,68,65.6,84.9,60
63,D'Andre Swift,DET,5,23,RB,RB30,13.1,13.1,13.1,10.1,19.3,61.4
64,Darren Waller,LV,6,30,TE,TE5,50.2,50.2,50.2,42.4,50.4,61.6
65,Russell Wilson,SEA,6,34,QB,QB4,72,72,72,71.7,91.5,62
66,Kyler Murray,ARI,8,25,QB,QB5,62.1,62.1,62.1,36.8,62.1,62.6
67,Stefon Diggs,BUF,11,29,WR,WR27,14,14,14,13.1,18.6,65
