player,pos,team,season,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,ttl,avg
Aaron Rodgers,QB,GB,2016,64,71,54,NA,80,70,87,62,69,74,64,71,58,48,61,56,75,1064,66.5
Adrian Peterson,RB,MIN,2016,38,34,0,0,0,NA,0,0,0,0,0,0,0,0,12,0,0,84,28
Alex Smith,QB,KC,2016,71,64,63,75,NA,64,52,29,0,64,53,85,49,55,58,75,58,915,61
Ben Roethlisberger,QB,PIT,2016,68,74,60,55,74,50,0,NA,69,73,69,49,72,75,75,58,0,921,65.8
Brian Hoyer,QB,CHI,2016,0,15,65,69,66,80,20,0,NA,0,0,0,0,0,0,0,0,315,52.5
Chad Henne,QB,JAC,2016,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Chase Daniel,QB,PHI,2016,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
Danny Amendola,WR,NE,2016,19,19,13,13,21,26,19,32,NA,26,42,17,19,0,0,0,0,266,22.2
Darren Sproles,RB,PHI,2016,39,41,24,NA,34,24,26,61,60,31,10,31,44,30,0,27,29,511,34.1
DeSean Jackson,WR,WAS,2016,48,51,51,48,51,50,54,32,NA,0,47,56,45,42,58,30,42,705,47
Drew Brees,QB,NO,2016,69,62,81,73,NA,73,75,76,86,51,75,74,62,61,86,71,77,1152,72
Drew Stanton,QB,ARI,2016,0,12,0,13,68,7,0,0,NA,0,0,0,0,0,0,0,6,106,21.2
Frank Gore,RB,IND,2016,49,34,44,34,54,46,57,32,47,NA,44,35,45,33,39,26,32,651,40.7
Greg Olsen,TE,CAR,2016,72,76,77,67,54,81,NA,67,62,73,62,65,58,69,62,40,45,1030,64.4
Jared Cook,TE,GB,2016,33,46,14,NA,0,0,0,0,0,0,42,33,29,16,40,35,40,328,32.8
Jason Witten,TE,DAL,2016,78,68,68,76,57,64,NA,77,69,65,68,56,52,66,74,56,22,1016,63.5
Joe Flacco,QB,BAL,2016,68,75,67,89,71,83,58,NA,67,77,55,68,59,70,58,75,71,1111,69.4
Josh McCown,QB,CLE,2016,0,62,0,0,0,0,0,69,0,20,37,74,NA,0,0,0,0,262,52.4
Julian Edelman,WR,NE,2016,61,63,46,50,59,58,51,60,NA,52,67,66,54,47,44,36,60,874,54.6
Larry Fitzgerald,WR,ARI,2016,59,59,80,72,62,67,93,56,NA,69,72,64,70,68,60,56,46,1053,65.8
LeSean McCoy,RB,BUF,2016,42,49,48,54,44,49,23,0,64,NA,20,40,45,43,41,70,14,646,43.1
Marcedes Lewis,TE,JAC,2016,36,22,36,21,NA,25,25,36,37,34,6,0,0,0,0,0,0,278,27.8
Matt Moore,QB,MIA,2016,0,0,0,0,0,0,0,NA,0,0,0,0,0,14,48,69,59,190,47.5
Matt Ryan,QB,ATL,2016,65,66,64,67,67,67,65,63,71,50,NA,70,73,46,61,63,62,1020,63.8
Matt Schaub,QB,ATL,2016,0,0,0,0,0,0,0,0,2,0,NA,0,0,12,7,0,0,21,5.3
Matthew Slater,WR,NE,2016,4,14,2,0,11,1,1,6,NA,7,0,0,0,4,1,0,1,52,4
Matthew Stafford,QB,DET,2016,65,79,68,63,61,62,53,61,66,NA,57,61,70,72,62,71,66,1037,64.8
Michael Crabtree,WR,LV,2016,68,57,50,46,53,45,50,72,48,0,39,65,57,64,45,39,35,833,52.1
Philip Rivers,QB,LAC,2016,73,63,60,70,51,66,75,81,80,77,0,56,55,65,55,68,66,1061,66.3
Ryan Fitzpatrick,QB,NYJ,2016,71,74,68,71,58,46,44,72,54,0,NA,57,25,0,18,44,62,764,54.6
Ted Ginn Jr.,WR,CAR,2016,45,49,49,48,28,38,NA,35,43,53,35,41,40,43,32,56,54,689,43.1
Tom Brady,QB,NE,2016,0,0,0,0,71,64,57,64,NA,66,77,73,79,69,75,59,64,818,68.2
Vernon Davis,TE,WAS,2016,19,27,35,34,34,72,71,39,NA,34,37,46,59,38,44,64,21,674,42.1
Dez Bryant,WR,DAL,2016,75,57,52,0,0,0,NA,68,51,58,62,43,37,61,63,42,18,687,52.8
Golden Tate,WR,DET,2016,55,70,59,36,49,50,44,54,53,NA,47,51,60,63,50,63,62,866,54.1
Andre Roberts,WR,DET,2016,2,9,10,27,18,11,20,4,20,NA,13,16,53,22,18,8,7,258,16.1
Emmanuel Sanders,WR,DEN,2016,50,60,57,62,68,46,52,58,50,75,NA,73,45,60,58,47,2,863,53.9
Jimmy Graham,TE,SEA,2016,17,55,47,40,NA,63,61,49,41,67,50,63,53,41,37,68,37,789,49.3
Joe Webb III,QB,CAR,2016,0,0,0,4,0,0,NA,0,0,0,0,1,0,0,0,10,0,15,1.1
Rob Gronkowski,TE,NE,2016,0,0,14,39,65,57,52,62,NA,56,0,7,0,0,0,0,0,352,44
Antonio Brown,WR,PIT,2016,66,74,60,52,74,55,59,NA,69,72,69,49,72,75,75,54,0,975,65
Logan Paulsen,TE,CHI,2016,20,22,10,46,37,36,19,35,NA,15,32,33,38,19,13,9,19,403,25.2
A.J. Green,WR,CIN,2016,54,72,64,59,59,62,52,82,NA,50,2,0,0,0,0,0,0,556,55.6
Blaine Gabbert,QB,SF,2016,78,65,57,53,78,0,0,NA,0,0,0,0,13,0,0,0,0,344,57.3
Julio Jones,WR,ATL,2016,55,51,49,47,50,62,57,53,53,42,NA,57,47,0,0,39,49,711,50.8
Cam Newton,QB,CAR,2016,72,83,76,42,0,81,NA,67,64,73,62,65,57,68,73,69,70,1022,68.1
Mark Ingram II,RB,NO,2016,29,36,40,48,NA,39,38,6,33,22,25,42,21,18,41,48,45,531,33.2
Randall Cobb,WR,GB,2016,62,70,42,NA,55,53,78,0,23,54,58,56,44,33,51,0,0,679,52.2
Kyle Rudolph,TE,MIN,2016,58,56,53,72,68,NA,72,57,64,56,55,51,64,64,56,75,48,969,60.6
Andy Dalton,QB,CIN,2016,57,76,67,70,70,66,61,88,NA,58,73,75,64,71,58,63,68,1085,67.8
Lance Kendricks,TE,LAR,2016,58,60,59,56,59,55,67,NA,54,56,52,36,33,36,44,52,52,829,51.8
Luke Stocker,TE,TB,2016,37,9,0,0,0,NA,41,37,24,38,21,38,1,0,17,25,34,322,26.8
Taiwan Jones,RB,LV,2016,6,1,0,0,0,1,0,1,0,0,2,4,2,0,0,0,0,17,1.3
Anthony Sherman,RB,KC,2016,2,10,10,0,NA,19,11,10,11,4,8,17,6,24,13,10,13,168,10.5
Dion Lewis,RB,NE,2016,0,0,0,0,0,0,0,0,NA,0,21,23,20,17,28,27,27,163,23.3
Lee Smith,TE,LV,2016,41,40,33,11,0,0,0,0,0,0,0,0,0,0,0,0,0,125,31.3
Dwayne Harris,WR,NYG,2016,1,3,1,1,0,2,3,NA,16,2,2,6,0,6,5,2,8,58,3.6
Tyrod Taylor,QB,BUF,2016,49,51,64,78,54,67,57,69,85,NA,65,55,72,52,59,92,0,969,64.6
Virgil Green,TE,DEN,2016,41,41,0,0,0,57,39,48,40,58,NA,50,39,32,5,0,35,485,40.4
Robert Griffin III,QB,CLE,2016,51,0,0,0,0,0,0,0,0,0,0,0,NA,54,58,61,78,302,60.4
Ryan Tannehill,QB,MIA,2016,54,64,67,45,44,70,73,NA,63,51,60,59,62,46,0,0,0,758,58.3
Nick Foles,QB,KC,2016,0,0,0,0,NA,0,0,45,58,0,0,0,0,0,0,0,3,106,35.3
Kirk Cousins,QB,WAS,2016,58,67,71,62,66,74,73,91,NA,63,66,75,60,48,64,67,55,1060,66.3
Russell Wilson,QB,SEA,2016,82,67,46,60,NA,66,63,54,47,70,67,63,61,68,61,83,49,1007,62.9
Lamar Miller,RB,HOU,2016,60,52,54,51,42,58,32,33,NA,24,57,48,31,33,48,0,0,623,44.5
Alshon Jeffery,WR,CHI,2016,54,50,65,56,61,74,45,57,NA,55,0,0,0,0,61,66,49,693,57.8
Mohamed Sanu Sr.,WR,ATL,2016,56,48,27,52,46,52,51,55,52,46,NA,62,62,0,46,45,46,746,49.7
T.Y. Hilton,WR,IND,2016,68,64,63,75,61,70,68,54,59,NA,52,25,46,63,60,50,69,947,59.2
Travis Benjamin,WR,LAC,2016,55,44,45,54,31,25,46,38,7,0,0,37,43,44,29,50,0,548,39.1
Marvin Jones Jr.,WR,DET,2016,61,73,65,61,53,56,49,60,62,NA,51,59,0,60,51,56,62,879,58.6
Alfred Morris,RB,DAL,2016,14,10,7,12,10,5,NA,7,24,10,5,5,1,2,0,0,18,130,9.3
Brandon Bolden,RB,NE,2016,3,0,2,5,0,0,3,0,NA,0,0,0,0,0,0,0,0,13,0.9
Derek Carrier,TE,WAS,2016,0,0,0,0,0,0,0,0,NA,9,14,15,11,8,5,11,7,80,10
Case Keenum,QB,LAR,2016,61,62,65,59,66,58,79,NA,68,69,0,0,0,0,9,0,0,596,59.6
Cole Beasley,WR,DAL,2016,49,41,30,51,29,30,NA,51,29,35,44,35,25,42,45,27,38,601,37.6
Chris Hogan,WR,NE,2016,55,63,55,52,49,56,33,63,NA,31,0,67,68,57,52,64,64,829,55.3
Garrett Celek,TE,SF,2016,46,32,38,39,61,27,41,NA,30,20,34,33,25,44,29,59,48,606,37.9
Jermaine Kearse,WR,SEA,2016,70,55,53,44,NA,53,56,47,40,57,47,50,64,53,37,66,37,829,51.8
Travis Kelce,TE,KC,2016,63,55,58,71,NA,55,47,67,43,61,44,77,39,41,49,70,47,887,55.4
Marquise Goodwin,WR,BUF,2016,11,28,53,63,38,50,31,0,48,NA,54,43,59,43,53,33,33,640,42.7
Russell Shepard,WR,TB,2016,6,14,11,8,14,NA,27,26,0,0,34,32,50,44,56,52,58,432,30.9
DeAndre Hopkins,WR,HOU,2016,73,72,69,61,64,69,70,66,NA,61,74,67,66,71,82,64,55,1084,67.8
Robert Woods,WR,BUF,2016,41,46,61,69,48,54,0,46,67,NA,10,0,0,27,30,79,56,634,48.8
Kenny Stills,WR,MIA,2016,54,63,65,45,35,54,68,NA,15,36,50,51,62,57,26,59,55,795,49.7
