player,pos,team,season,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,ttl,avg
Aaron Rodgers,QB,GB,2021,42,62,63,72,64,59,56,73,0,74,58,82,NA,63,62,59,63,31,983,61.4
Adrian Peterson,RB,Multi,2021,0,0,0,0,0,0,0,0,19,20,15,0,18,0,0,0,0,0,72,18
Ben Roethlisberger,QB,PIT,2021,58,56,83,60,65,75,NA,74,72,0,69,62,60,74,49,62,81,76,1076,67.3
Brian Hoyer,QB,NE,2021,0,0,0,0,0,0,12,0,6,9,0,1,0,NA,0,0,13,0,41,8.2
Chad Henne,QB,KC,2021,0,0,0,0,0,0,18,0,0,3,0,NA,0,4,0,6,0,0,31,7.8
Chase Daniel,QB,LAC,2021,0,0,0,0,0,0,NA,0,0,0,0,0,0,5,0,0,0,0,5,5
Danny Amendola,WR,HOU,2021,17,12,0,0,0,0,24,39,34,NA,13,22,0,0,0,0,0,30,191,23.9
DeSean Jackson,WR,Multi,2021,14,0,21,22,20,16,4,0,0,9,16,42,24,32,20,36,16,0,292,20.9
Jared Cook,TE,LAC,2021,47,42,46,39,50,36,NA,33,29,34,38,37,35,31,43,39,0,65,644,40.3
Joe Flacco,QB,NYJ,2021,0,0,0,0,0,NA,0,0,0,6,60,0,0,0,0,0,0,0,66,33
Josh Johnson,QB,Multi,2021,0,0,0,0,0,0,0,5,63,0,0,1,0,0,0,59,0,0,128,32
Marcedes Lewis,TE,GB,2021,15,0,0,35,29,40,21,31,29,42,0,33,NA,36,31,25,0,20,387,29.8
Matt Ryan,QB,ATL,2021,70,66,62,76,78,NA,63,53,59,38,50,60,71,69,59,46,53,50,1023,60.2
Matthew Slater,WR,NE,2021,0,0,0,1,0,0,0,1,3,2,2,0,2,NA,0,0,1,0,12,1.2
Matthew Stafford,QB,LAR,2021,52,59,65,68,67,56,65,58,78,55,NA,62,63,58,66,70,58,65,1065,62.6
Ryan Fitzpatrick,QB,WAS,2021,16,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,16,16
Tom Brady,QB,TB,2021,65,60,73,78,62,75,65,61,NA,48,69,67,70,83,74,64,74,51,1139,67
Andre Roberts,WR,Multi,2021,0,22,0,2,0,2,0,0,2,0,1,0,0,0,1,0,0,3,33,2.1
Colt McCoy,QB,ARI,2021,0,0,0,2,0,7,5,0,68,33,83,NA,0,0,11,0,0,0,209,29.9
Emmanuel Sanders,WR,BUF,2021,79,50,63,51,45,71,NA,56,66,35,44,51,46,25,0,65,0,0,747,53.4
Jimmy Graham,TE,CHI,2021,14,0,7,0,0,0,0,0,18,NA,12,14,21,12,19,21,17,20,175,15.9
Rob Gronkowski,TE,TB,2021,57,51,45,0,0,0,0,6,NA,0,46,55,58,73,63,60,70,50,634,52.8
Antonio Brown,WR,TB,2021,42,28,0,40,42,37,0,0,NA,0,0,0,0,0,0,53,26,0,268,38.3
A.J. Green,WR,ARI,2021,55,51,53,67,49,68,60,56,0,38,57,NA,36,56,56,56,62,68,888,55.5
Blaine Gabbert,QB,TB,2021,0,3,0,0,12,0,8,0,NA,0,9,0,0,0,0,3,0,9,44,7.3
Julio Jones,WR,TEN,2021,50,66,34,0,0,35,29,0,43,0,0,0,NA,32,27,31,0,46,393,39.3
Cam Newton,QB,CAR,2021,0,0,0,0,0,0,0,0,0,9,51,40,NA,48,76,26,1,1,252,31.5
Mark Ingram II,RB,Multi,2021,36,19,19,10,26,33,21,22,26,57,47,0,30,0,30,24,0,0,400,28.6
Randall Cobb,WR,GB,2021,15,12,21,33,35,0,35,50,33,50,45,19,NA,0,0,0,0,0,348,31.6
Kyle Rudolph,TE,NYG,2021,47,49,0,37,41,34,41,21,31,NA,14,0,27,25,27,17,26,34,471,31.4
Andy Dalton,QB,CHI,2021,64,23,0,0,3,0,0,0,0,NA,29,70,76,0,0,0,65,82,412,51.5
Luke Stocker,TE,MIN,2021,0,0,0,0,0,0,NA,17,18,20,0,0,13,0,19,0,0,14,101,16.8
Taiwan Jones,RB,BUF,2021,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,0.1
Lee Smith,TE,ATL,2021,0,13,26,0,34,NA,26,18,0,0,22,29,16,34,13,0,0,0,231,23.1
Tyrod Taylor,QB,HOU,2021,78,26,0,0,0,0,0,0,69,NA,64,57,29,0,0,0,0,0,323,53.8
Ryan Tannehill,QB,TEN,2021,64,88,68,100,64,53,67,72,57,60,81,56,NA,68,80,62,60,68,1168,68.7
Nick Foles,QB,CHI,2021,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,74,0,0,74,74
Kirk Cousins,QB,MIN,2021,83,61,75,67,67,89,NA,66,54,79,70,55,76,70,64,63,0,48,1087,67.9
Russell Wilson,QB,SEA,2021,54,54,53,56,40,0,0,0,NA,61,49,47,70,61,57,56,72,58,788,56.3
Mohamed Sanu Sr.,WR,SF,2021,20,20,45,39,30,NA,28,25,33,0,0,0,0,0,0,0,0,0,240,30
T.Y. Hilton,WR,IND,2021,0,0,0,0,0,24,0,35,0,39,28,42,32,NA,14,47,36,40,337,33.7
