player,pos,team,season,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,ttl,avg
Devontae Booker,RB,DEN,2016,0,1,1,1,6,2,2,6,3,2,NA,2,1,2,3,10,3,45,2.8
Andy Janovich,RB,DEN,2016,0,1,1,0,1,0,2,0,0,1,NA,1,NA,NA,NA,NA,NA,7,0.6
Emmanuel Sanders,WR,DEN,2016,8,8,13,13,9,6,8,10,11,9,NA,10,9,14,6,3,0,137,8.6
Virgil Green,TE,DEN,2016,5,3,NA,NA,NA,4,0,6,4,6,NA,0,1,2,2,NA,4,37,3.1
Ted Ginn Jr.,WR,CAR,2016,1,4,7,5,1,8,NA,6,7,8,4,10,6,4,8,9,7,95,5.9
Greg Olsen,TE,CAR,2016,9,8,10,13,13,7,NA,3,7,8,7,5,7,7,9,12,4,129,8.1
Devin Funchess,WR,CAR,2016,4,4,2,3,0,6,NA,4,5,4,7,2,4,5,3,5,NA,58,3.9
T.J. Yeldon,RB,JAC,2016,6,9,3,5,NA,2,2,4,6,3,3,2,7,9,7,0,NA,68,4.5
Allen Hurns,WR,JAC,2016,5,10,8,4,NA,11,7,11,4,7,2,7,NA,NA,NA,NA,NA,76,6.9
Marcedes Lewis,TE,JAC,2016,2,3,3,2,NA,1,3,6,4,4,2,NA,NA,NA,NA,NA,NA,30,3
Allen Robinson II,WR,JAC,2016,15,5,11,10,NA,6,8,15,12,13,7,4,10,3,8,12,12,151,9.4
Randall Cobb,WR,GB,2016,8,7,3,NA,11,11,15,NA,2,8,5,7,3,3,1,NA,NA,84,6.5
Jared Cook,TE,GB,2016,2,6,3,NA,NA,NA,NA,NA,NA,NA,11,2,4,2,8,5,8,51,5.1
Davante Adams,WR,GB,2016,7,7,2,NA,8,3,16,14,8,9,6,6,7,6,6,7,9,121,7.6
Richard Rodgers,TE,GB,2016,3,2,3,NA,5,3,1,0,10,7,4,1,2,2,1,2,1,47,2.9
Ty Montgomery,RB,GB,2016,0,0,0,NA,0,12,13,NA,3,2,4,2,3,4,3,5,5,56,3.7
Brandin Cooks,WR,NO,2016,9,9,8,6,NA,9,9,6,6,5,8,0,9,10,8,9,6,117,7.3
Mark Ingram II,RB,NO,2016,2,4,6,7,NA,3,4,0,2,2,4,2,5,2,4,3,8,58,3.6
Willie Snead IV,WR,NO,2016,9,8,NA,1,NA,7,11,8,7,7,5,7,6,8,11,5,4,104,6.9
Michael Thomas,WR,NO,2016,6,5,11,9,NA,5,13,6,8,6,5,10,5,NA,10,8,14,121,8.1
DeAndre Washington,RB,OAK,2016,1,1,1,3,6,1,2,0,1,NA,1,NA,NA,0,3,1,2,23,1.6
Latavius Murray,RB,OAK,2016,2,6,1,2,NA,NA,5,7,1,NA,5,4,5,1,1,2,1,43,3.1
Jalen Richard,RB,OAK,2016,2,1,1,3,7,3,1,2,3,NA,3,0,0,4,5,3,1,39,2.4
Taiwan Jones,RB,OAK,2016,2,0,0,NA,NA,0,NA,0,0,NA,0,1,1,0,0,0,0,4,0.3
Michael Crabtree,WR,OAK,2016,9,5,11,12,7,4,11,16,6,NA,7,13,11,7,8,10,8,145,9.1
Seth Roberts,WR,OAK,2016,4,6,6,3,3,6,9,7,3,NA,3,4,5,9,3,3,3,77,4.8
Amari Cooper,WR,OAK,2016,11,9,9,6,12,13,5,15,8,NA,5,7,4,10,3,7,8,132,8.3
Lee Smith,TE,OAK,2016,0,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1.5
Johnny Holton,WR,OAK,2016,0,1,0,0,0,0,0,0,0,NA,NA,1,0,0,0,0,1,3,0.2
Josh Hill,TE,NO,2016,0,NA,NA,NA,NA,5,1,1,4,1,2,6,2,NA,NA,NA,NA,22,2.4
Kenjon Barner,RB,PHI,2016,0,0,0,NA,0,0,0,1,0,0,1,1,3,NA,5,NA,NA,11,0.8
Darren Sproles,RB,PHI,2016,5,2,6,NA,4,1,3,7,9,10,1,7,6,3,NA,2,5,71,4.7
Wendell Smallwood,RB,PHI,2016,0,1,0,NA,0,2,0,0,0,1,5,1,3,0,NA,NA,NA,13,1
