player,pos,team,season,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,ttl,avg
Antonio Brown,WR,TB,2021,7,3,NA,11,8,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,5,NA,62,8.9
Ronald Jones II,RB,TB,2021,0,3,0,0,1,1,0,1,NA,NA,0,0,1,0,2,3,1,NA,13,0.9
Leonard Fournette,RB,TB,2021,7,4,3,5,5,6,4,5,NA,9,6,8,8,7,7,NA,NA,NA,84,6
Chris Godwin,WR,TB,2021,13,5,7,5,11,5,11,12,NA,8,6,5,17,15,7,NA,NA,NA,127,9.1
Rob Gronkowski,TE,TB,2021,8,5,7,NA,NA,NA,NA,1,NA,NA,8,9,8,9,11,2,10,10,88,7.3
Mike Evans,WR,TB,2021,6,9,10,12,8,4,10,4,NA,3,11,6,10,6,1,NA,7,7,114,7.1
Tyler Johnson,WR,TB,2021,1,2,6,2,3,NA,2,6,NA,5,3,1,1,3,7,0,6,7,55,3.4
Giovani Bernard,RB,TB,2021,3,2,10,NA,2,2,3,1,NA,3,1,NA,2,NA,NA,NA,NA,NA,29,2.9
Jaydon Mickens,WR,JAC,2021,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,2,1,0,0,NA,0,3,0.3
Tony Pollard,RB,DAL,2021,4,3,1,0,4,3,NA,1,2,7,2,4,4,NA,3,3,5,NA,46,3.1
Ezekiel Elliott,RB,DAL,2021,2,2,3,1,3,9,NA,6,3,3,6,8,3,6,4,1,2,3,65,3.8
Michael Gallup,WR,DAL,2021,7,NA,NA,NA,NA,NA,NA,NA,NA,5,10,8,9,9,5,5,4,NA,62,6.9
Blake Jarwin,TE,DAL,2021,3,4,2,3,0,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,17,2.1
CeeDee Lamb,WR,DAL,2021,15,9,3,5,6,11,NA,8,9,7,4,NA,13,10,9,5,4,2,120,7.5
Dalton Schultz,TE,DAL,2021,6,2,7,8,8,6,NA,7,5,2,8,7,5,3,8,9,10,3,104,6.1
Amari Cooper,WR,DAL,2021,17,5,4,3,6,8,NA,13,5,4,NA,NA,2,7,5,11,7,7,104,6.9
Cedrick Wilson Jr.,WR,DAL,2021,3,2,4,2,1,7,NA,3,5,NA,7,10,NA,2,NA,3,6,6,61,4.4
Corey Clement,RB,DAL,2021,0,NA,0,NA,NA,NA,NA,NA,0,1,0,NA,0,2,0,0,0,4,7,0.6
Sewo Olonilua,RB,DAL,2021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Mekhi Sargent,RB,JAC,2021,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,1,0.2
Derrick Henry,RB,TEN,2021,4,6,3,2,0,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,2.5
Jeremy McNichols,RB,TEN,2021,4,3,2,12,2,NA,1,3,3,3,NA,NA,NA,1,3,1,0,NA,38,2.9
Chester Rogers,WR,TEN,2021,6,5,2,6,1,1,NA,1,1,1,6,3,NA,1,4,1,2,2,43,2.7
Nick Westbrook-Ikhine,WR,TEN,2021,2,1,4,8,NA,3,NA,3,1,1,8,6,NA,3,7,3,2,5,57,3.8
Geoff Swaim,TE,TEN,2021,1,2,4,1,1,2,1,5,4,5,NA,1,NA,4,2,3,3,1,40,2.5
Julio Jones,WR,TEN,2021,6,8,4,NA,NA,5,4,NA,4,NA,NA,NA,NA,6,1,1,NA,9,48,4.8
Anthony Firkser,TE,TEN,2021,4,NA,NA,5,4,1,1,2,1,2,7,1,NA,5,2,1,3,4,43,2.9
A.J. Brown,WR,TEN,2021,8,9,2,NA,6,9,9,11,11,4,9,NA,NA,NA,NA,16,5,6,105,8.1
Khari Blasingame,RB,TEN,2021,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,1,2,0.4
James Conner,RB,ARI,2021,0,0,1,2,1,1,0,0,5,4,6,NA,2,9,2,NA,NA,6,39,2.6
Chase Edmonds,RB,ARI,2021,4,5,8,5,4,4,3,4,0,NA,NA,NA,NA,NA,1,9,6,NA,53,4.4
Demetrius Harris,TE,ARI,2021,3,0,0,0,NA,0,0,0,NA,NA,NA,NA,2,NA,0,1,NA,NA,6,0.6
A.J. Green,WR,ARI,2021,6,6,6,6,2,6,3,8,NA,5,7,NA,1,10,8,3,6,9,92,5.8
Christian Kirk,WR,ARI,2021,5,4,8,1,5,8,5,6,6,8,5,NA,3,6,12,9,9,3,103,6.1
Maxx Williams,TE,ARI,2021,1,7,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,3.4
Rondale Moore,WR,ARI,2021,5,8,2,3,6,4,3,4,5,4,11,NA,2,4,3,NA,NA,NA,64,4.6
DeAndre Hopkins,WR,ARI,2021,8,4,6,7,9,4,9,2,NA,NA,NA,NA,2,13,NA,NA,NA,NA,64,6.4
Darrell Daniels,TE,ARI,2021,0,0,0,NA,NA,1,NA,0,2,0,1,NA,NA,NA,NA,NA,0,0,4,0.4
Jonathan Ward,RB,ARI,2021,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,2,0,1,1,4,0.4
David Johnson,RB,HOU,2021,4,2,0,4,6,2,6,1,5,NA,4,3,NA,NA,1,NA,NA,4,42,3.2
Phillip Lindsay,RB,MIA,2021,1,1,0,0,0,2,0,0,0,NA,0,0,NA,NA,NA,0,1,0,5,0.4
Mark Ingram II,RB,NO,2021,1,2,1,0,0,2,3,2,5,7,8,NA,2,NA,2,0,NA,NA,35,2.5
Chris Conley,WR,HOU,2021,2,2,1,1,4,2,NA,2,3,NA,5,NA,4,2,4,3,2,NA,37,2.6
Pharaoh Brown,TE,HOU,2021,5,1,0,2,4,3,3,NA,NA,NA,4,1,5,NA,2,3,1,NA,34,2.6
Danny Amendola,WR,HOU,2021,5,1,NA,NA,NA,NA,5,5,7,NA,1,5,NA,NA,NA,NA,NA,9,38,4.8
Rex Burkhead,RB,HOU,2021,2,NA,1,0,NA,1,0,4,0,NA,0,3,2,4,3,2,6,4,32,2.1
